year,Magdalene
1880,13
1881,14
1882,12
1883,10
1884,9
1885,20
1886,17
1887,16
1888,19
1889,16
1890,17
1891,33
1892,36
1893,34
1894,29
1895,29
1896,29
1897,27
1898,22
1899,26
1900,32
1901,28
1902,36
1903,33
1904,56
1905,35
1906,35
1907,47
1908,37
1909,63
1910,54
1911,71
1912,87
1913,74
1914,130
1915,151
1916,156
1917,183
1918,185
1919,178
1920,182
1921,174
1922,161
1923,199
1924,172
1925,141
1926,137
1927,127
1928,155
1929,110
1930,146
1931,123
1932,113
1933,117
1934,106
1935,103
1936,90
1937,69
1938,80
1939,62
1940,77
1941,70
1942,75
1943,68
1944,77
1945,47
1946,53
1947,51
1948,53
1949,48
1950,58
1951,53
1952,50
1953,57
1954,43
1955,44
1956,44
1957,33
1958,41
1959,34
1960,29
1961,30
1962,28
1963,31
1964,30
1965,25
1966,21
1967,26
1968,23
1969,30
1970,19
1971,21
1972,19
1973,18
1974,15
1975,28
1976,25
1977,25
1978,20
1979,31
1980,26
1981,23
1982,33
1983,33
1984,33
1985,39
1986,47
1987,32
1988,35
1989,38
1990,39
1991,34
1992,30
1993,51
1994,58
1995,45
1996,77
1997,64
1998,54
1999,78
2000,89
2001,82
2002,67
2003,92
2004,88
2005,115
2006,113
2007,96
2008,102
2009,105
2010,110
2011,107
2012,97
