year,Mignon
1880,5
1881,0
1882,0
1883,0
1884,0
1885,10
1886,0
1887,6
1888,0
1889,6
1890,5
1891,8
1892,14
1893,6
1894,8
1895,7
1896,12
1897,14
1898,9
1899,0
1900,12
1901,5
1902,13
1903,8
1904,10
1905,5
1906,10
1907,13
1908,10
1909,11
1910,12
1911,13
1912,24
1913,22
1914,28
1915,32
1916,38
1917,24
1918,33
1919,29
1920,30
1921,20
1922,34
1923,33
1924,33
1925,26
1926,28
1927,29
1928,23
1929,25
1930,25
1931,22
1932,20
1933,22
1934,28
1935,16
1936,19
1937,13
1938,19
1939,19
1940,21
1941,10
1942,14
1943,22
1944,12
1945,10
1946,16
1947,37
1948,19
1949,16
1950,24
1951,24
1952,20
1953,8
1954,20
1955,20
1956,15
1957,9
1958,24
1959,25
1960,29
1961,44
1962,40
1963,22
1964,28
1965,36
1966,21
1967,31
1968,25
1969,40
1970,30
1971,32
1972,23
1973,23
1974,34
1975,19
1976,23
1977,23
1978,24
1979,55
1980,35
1981,35
1982,38
1983,18
1984,15
1985,16
1986,16
1987,20
1988,11
1989,15
1990,10
1991,11
1992,7
1993,7
1994,9
1995,5
1996,5
1997,5
1998,7
1999,0
2000,7
2001,0
2002,5
2003,6
2004,6
2005,0
2006,0
2007,5
2008,5
2009,0
2010,0
2011,0
2012,0
