year,Mayer
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,0
1914,6
1915,11
1916,7
1917,9
1918,7
1919,9
1920,7
1921,0
1922,7
1923,5
1924,7
1925,0
1926,13
1927,0
1928,10
1929,8
1930,0
1931,10
1932,5
1933,11
1934,5
1935,11
1936,8
1937,10
1938,0
1939,5
1940,8
1941,0
1942,7
1943,8
1944,0
1945,0
1946,8
1947,0
1948,6
1949,7
1950,6
1951,18
1952,7
1953,11
1954,8
1955,7
1956,10
1957,15
1958,20
1959,18
1960,21
1961,17
1962,11
1963,10
1964,10
1965,5
1966,8
1967,6
1968,10
1969,8
1970,16
1971,7
1972,17
1973,14
1974,14
1975,10
1976,16
1977,15
1978,14
1979,10
1980,5
1981,26
1982,17
1983,18
1984,17
1985,22
1986,26
1987,19
1988,25
1989,23
1990,29
1991,18
1992,27
1993,22
1994,25
1995,27
1996,33
1997,31
1998,38
1999,26
2000,26
2001,28
2002,40
2003,34
2004,27
2005,43
2006,48
2007,37
2008,52
2009,47
2010,49
2011,51
2012,56
