year,Mariette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,5
1905,5
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,5
1913,6
1914,0
1915,13
1916,9
1917,18
1918,15
1919,10
1920,11
1921,8
1922,12
1923,12
1924,17
1925,13
1926,16
1927,6
1928,24
1929,7
1930,11
1931,13
1932,13
1933,22
1934,7
1935,16
1936,13
1937,9
1938,15
1939,12
1940,14
1941,12
1942,8
1943,18
1944,15
1945,10
1946,8
1947,19
1948,11
1949,13
1950,25
1951,18
1952,18
1953,19
1954,10
1955,14
1956,16
1957,15
1958,11
1959,13
1960,18
1961,11
1962,19
1963,9
1964,11
1965,12
1966,12
1967,6
1968,15
1969,11
1970,17
1971,10
1972,13
1973,10
1974,7
1975,7
1976,6
1977,6
1978,8
1979,5
1980,16
1981,13
1982,18
1983,12
1984,9
1985,11
1986,5
1987,12
1988,9
1989,15
1990,10
1991,0
1992,0
1993,0
1994,7
1995,0
1996,0
1997,0
1998,5
1999,7
2000,5
2001,0
2002,0
2003,0
2004,0
2005,6
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
