year,Utah
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,7
1919,12
1920,11
1921,21
1922,15
1923,19
1924,12
1925,15
1926,7
1927,10
1928,11
1929,10
1930,9
1931,7
1932,9
1933,12
1934,7
1935,9
1936,9
1937,0
1938,8
1939,8
1940,0
1941,7
1942,5
1943,0
1944,0
1945,6
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,6
1994,6
1995,8
1996,6
1997,5
1998,7
1999,0
2000,8
2001,0
2002,6
2003,5
2004,0
2005,7
2006,6
2007,6
2008,6
2009,0
2010,8
2011,5
2012,0
