year,Ulysees
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,7
1915,6
1916,0
1917,0
1918,6
1919,7
1920,7
1921,11
1922,11
1923,7
1924,6
1925,0
1926,6
1927,7
1928,11
1929,13
1930,6
1931,10
1932,16
1933,7
1934,5
1935,12
1936,9
1937,5
1938,15
1939,15
1940,9
1941,10
1942,5
1943,11
1944,0
1945,8
1946,5
1947,8
1948,11
1949,10
1950,11
1951,10
1952,6
1953,14
1954,11
1955,10
1956,5
1957,0
1958,8
1959,5
1960,7
1961,5
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,7
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
