year,Unknown (F),Unknown (M)
1880,0.000000,0.000025
1881,0.000000,0.000042
1882,0.000000,0.000032
1883,0.000000,0.000032
1884,0.000000,0.000000
1885,0.000000,0.000029
1886,0.000020,0.000000
1887,0.000000,0.000020
1888,0.000000,0.000020
1889,0.000028,0.000021
1890,0.000023,0.000017
1891,0.000000,0.000031
1892,0.000000,0.000042
1893,0.000000,0.000022
1894,0.000024,0.000035
1895,0.000000,0.000026
1896,0.000017,0.000025
1897,0.000020,0.000026
1898,0.000018,0.000042
1899,0.000029,0.000024
1900,0.000033,0.000036
1901,0.000017,0.000026
1902,0.000018,0.000041
1903,0.000016,0.000016
1904,0.000025,0.000017
1905,0.000026,0.000021
1906,0.000000,0.000021
1907,0.000017,0.000026
1908,0.000010,0.000016
1909,0.000000,0.000012
1910,0.000000,0.000022
1911,0.000008,0.000029
1912,0.000012,0.000015
1913,0.000010,0.000015
1914,0.000008,0.000013
1915,0.000010,0.000013
1916,0.000007,0.000012
1917,0.000009,0.000010
1918,0.000009,0.000014
1919,0.000006,0.000014
1920,0.000004,0.000008
1921,0.000005,0.000009
1922,0.000006,0.000008
1923,0.000002,0.000010
1924,0.000004,0.000003
1925,0.000003,0.000009
1926,0.000003,0.000006
1927,0.000005,0.000003
1928,0.000005,0.000004
1929,0.000005,0.000005
1930,0.000004,0.000006
1931,0.000006,0.000003
1932,0.000007,0.000004
1933,0.000004,0.000003
1934,0.000004,0.000003
1935,0.000006,0.000003
1936,0.000005,0.000000
1937,0.000006,0.000003
1938,0.000005,0.000002
1939,0.000005,0.000003
1940,0.000009,0.000003
1941,0.000007,0.000004
1942,0.000011,0.000005
1943,0.000020,0.000011
1944,0.000022,0.000010
1945,0.000020,0.000016
1946,0.000033,0.000013
1947,0.000041,0.000027
1948,0.000085,0.000047
1949,0.000127,0.000079
1950,0.000146,0.000116
1951,0.000153,0.000119
1952,0.000164,0.000131
1953,0.000156,0.000138
1954,0.000162,0.000137
1955,0.000141,0.000124
1956,0.000131,0.000111
1957,0.000077,0.000093
1958,0.000051,0.000065
1959,0.000035,0.000045
1960,0.000032,0.000047
1961,0.000023,0.000041
1962,0.000014,0.000026
1963,0.000014,0.000018
1964,0.000011,0.000013
1965,0.000008,0.000010
1966,0.000010,0.000012
1967,0.000005,0.000012
1968,0.000006,0.000009
1969,0.000007,0.000008
1970,0.000005,0.000012
1971,0.000005,0.000010
1972,0.000004,0.000005
1973,0.000008,0.000007
1974,0.000003,0.000007
1975,0.000007,0.000006
1976,0.000006,0.000004
1977,0.000003,0.000004
1978,0.000003,0.000003
1979,0.000003,0.000004
1980,0.000002,0.000003
1981,0.000003,0.000005
1982,0.000004,0.000003
1983,0.000003,0.000002
1984,0.000002,0.000001
1985,0.000000,0.000003
1986,0.000002,0.000003
1987,0.000005,0.000004
1988,0.000018,0.000025
1989,0.000065,0.000068
1990,0.000041,0.000048
1991,0.000066,0.000077
1992,0.000035,0.000041
1993,0.000025,0.000032
1994,0.000043,0.000044
1995,0.000061,0.000068
1996,0.000015,0.000015
1997,0.000004,0.000009
1998,0.000005,0.000004
1999,0.000007,0.000004
2000,0.000011,0.000010
2001,0.000007,0.000004
2002,0.000005,0.000007
2003,0.000007,0.000008
2004,0.000004,0.000006
2005,0.000006,0.000006
2006,0.000004,0.000006
2007,0.000008,0.000010
2008,0.000016,0.000019
2009,0.000022,0.000029
2010,0.000017,0.000024
2011,0.000021,0.000023
2012,0.000017,0.000026
