year,Ulysee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,8
1916,8
1917,14
1918,13
1919,6
1920,15
1921,5
1922,14
1923,14
1924,10
1925,16
1926,6
1927,14
1928,6
1929,7
1930,14
1931,16
1932,10
1933,11
1934,13
1935,12
1936,15
1937,9
1938,11
1939,19
1940,8
1941,13
1942,16
1943,14
1944,15
1945,0
1946,7
1947,14
1948,9
1949,13
1950,0
1951,15
1952,9
1953,11
1954,7
1955,13
1956,9
1957,6
1958,6
1959,6
1960,0
1961,6
1962,8
1963,7
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
