year,Una
1880,10
1881,14
1882,18
1883,19
1884,23
1885,28
1886,26
1887,31
1888,33
1889,47
1890,59
1891,39
1892,40
1893,43
1894,55
1895,46
1896,51
1897,44
1898,50
1899,53
1900,70
1901,50
1902,49
1903,48
1904,50
1905,47
1906,63
1907,72
1908,56
1909,57
1910,71
1911,73
1912,109
1913,105
1914,139
1915,164
1916,173
1917,161
1918,204
1919,186
1920,191
1921,217
1922,183
1923,152
1924,171
1925,173
1926,145
1927,123
1928,123
1929,119
1930,126
1931,108
1932,115
1933,124
1934,108
1935,95
1936,97
1937,85
1938,110
1939,91
1940,93
1941,62
1942,61
1943,60
1944,61
1945,52
1946,49
1947,42
1948,38
1949,38
1950,43
1951,34
1952,49
1953,30
1954,34
1955,36
1956,33
1957,39
1958,35
1959,34
1960,40
1961,41
1962,45
1963,37
1964,41
1965,34
1966,28
1967,35
1968,26
1969,29
1970,28
1971,22
1972,31
1973,22
1974,20
1975,12
1976,15
1977,15
1978,14
1979,14
1980,13
1981,11
1982,12
1983,11
1984,15
1985,7
1986,9
1987,14
1988,8
1989,8
1990,13
1991,12
1992,14
1993,9
1994,10
1995,14
1996,14
1997,7
1998,17
1999,19
2000,27
2001,30
2002,21
2003,26
2004,21
2005,40
2006,26
2007,39
2008,38
2009,31
2010,26
2011,33
2012,33
