year,Urban (F),Urban (M)
1880,0.000000,0.000050
1881,0.000000,0.000026
1882,0.000000,0.000023
1883,0.000000,0.000032
1884,0.000000,0.000025
1885,0.000000,0.000000
1886,0.000000,0.000043
1887,0.000000,0.000024
1888,0.000000,0.000033
1889,0.000000,0.000035
1890,0.000000,0.000023
1891,0.000000,0.000000
1892,0.000000,0.000018
1893,0.000000,0.000037
1894,0.000000,0.000059
1895,0.000000,0.000020
1896,0.000000,0.000025
1897,0.000000,0.000049
1898,0.000000,0.000031
1899,0.000000,0.000035
1900,0.000000,0.000022
1901,0.000000,0.000032
1902,0.000000,0.000034
1903,0.000000,0.000026
1904,0.000000,0.000035
1905,0.000000,0.000012
1906,0.000000,0.000014
1907,0.000000,0.000015
1908,0.000000,0.000023
1909,0.000000,0.000031
1910,0.000000,0.000022
1911,0.000000,0.000020
1912,0.000000,0.000039
1913,0.000000,0.000039
1914,0.000000,0.000045
1915,0.000000,0.000037
1916,0.000000,0.000048
1917,0.000000,0.000044
1918,0.000000,0.000040
1919,0.000000,0.000043
1920,0.000000,0.000039
1921,0.000000,0.000039
1922,0.000000,0.000032
1923,0.000000,0.000044
1924,0.000000,0.000044
1925,0.000000,0.000038
1926,0.000000,0.000024
1927,0.000000,0.000026
1928,0.000000,0.000029
1929,0.000000,0.000026
1930,0.000000,0.000023
1931,0.000000,0.000029
1932,0.000000,0.000018
1933,0.000000,0.000020
1934,0.000000,0.000016
1935,0.000000,0.000019
1936,0.000000,0.000015
1937,0.000000,0.000014
1938,0.000000,0.000013
1939,0.000000,0.000015
1940,0.000000,0.000010
1941,0.000000,0.000014
1942,0.000000,0.000010
1943,0.000000,0.000010
1944,0.000000,0.000006
1945,0.000000,0.000007
1946,0.000000,0.000006
1947,0.000000,0.000007
1948,0.000000,0.000008
1949,0.000000,0.000006
1950,0.000000,0.000004
1951,0.000000,0.000008
1952,0.000000,0.000004
1953,0.000000,0.000005
1954,0.000000,0.000003
1955,0.000000,0.000006
1956,0.000000,0.000003
1957,0.000000,0.000005
1958,0.000000,0.000006
1959,0.000000,0.000005
1960,0.000000,0.000006
1961,0.000000,0.000006
1962,0.000000,0.000002
1963,0.000000,0.000005
1964,0.000000,0.000004
1965,0.000000,0.000002
1966,0.000000,0.000003
1967,0.000000,0.000000
1968,0.000000,0.000003
1969,0.000000,0.000002
1970,0.000000,0.000003
1971,0.000000,0.000003
1972,0.000000,0.000000
1973,0.000000,0.000002
1974,0.000000,0.000000
1975,0.000000,0.000000
1976,0.000000,0.000002
1977,0.000000,0.000000
1978,0.000000,0.000000
1979,0.000000,0.000002
1980,0.000000,0.000003
1981,0.000000,0.000001
1982,0.000000,0.000002
1983,0.000000,0.000000
1984,0.000000,0.000000
1985,0.000000,0.000001
1986,0.000000,0.000003
1987,0.000000,0.000002
1988,0.000000,0.000003
1989,0.000000,0.000000
1990,0.000000,0.000002
1991,0.000000,0.000002
1992,0.000000,0.000000
1993,0.000000,0.000002
1994,0.000000,0.000002
1995,0.000000,0.000000
1996,0.000000,0.000002
1997,0.000000,0.000000
1998,0.000000,0.000001
1999,0.000000,0.000000
2000,0.000000,0.000002
2001,0.000000,0.000002
2002,0.000000,0.000000
2003,0.000000,0.000001
2004,0.000000,0.000002
2005,0.000000,0.000002
2006,0.000000,0.000003
2007,0.000000,0.000005
2008,0.000000,0.000005
2009,0.000000,0.000006
2010,0.000000,0.000008
2011,0.000000,0.000009
2012,0.000000,0.000009
2013,0.000000,0.000006
