year,Lionel (F),Lionel (M)
1880,0.000000,0.000040
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000032
1884,0.000000,0.000025
1885,0.000000,0.000021
1886,0.000000,0.000043
1887,0.000000,0.000053
1888,0.000000,0.000030
1889,0.000000,0.000031
1890,0.000000,0.000046
1891,0.000000,0.000059
1892,0.000000,0.000027
1893,0.000000,0.000058
1894,0.000000,0.000059
1895,0.000000,0.000054
1896,0.000000,0.000056
1897,0.000000,0.000055
1898,0.000000,0.000055
1899,0.000000,0.000053
1900,0.000000,0.000058
1901,0.000000,0.000058
1902,0.000000,0.000049
1903,0.000000,0.000079
1904,0.000000,0.000050
1905,0.000000,0.000059
1906,0.000000,0.000063
1907,0.000000,0.000064
1908,0.000000,0.000061
1909,0.000000,0.000067
1910,0.000000,0.000056
1911,0.000000,0.000115
1912,0.000000,0.000120
1913,0.000000,0.000113
1914,0.000000,0.000119
1915,0.000000,0.000122
1916,0.000000,0.000106
1917,0.000000,0.000127
1918,0.000000,0.000123
1919,0.000000,0.000120
1920,0.000000,0.000121
1921,0.000002,0.000143
1922,0.000000,0.000132
1923,0.000000,0.000143
1924,0.000000,0.000136
1925,0.000000,0.000132
1926,0.000000,0.000128
1927,0.000000,0.000137
1928,0.000000,0.000131
1929,0.000000,0.000121
1930,0.000000,0.000126
1931,0.000002,0.000138
1932,0.000000,0.000147
1933,0.000000,0.000161
1934,0.000000,0.000161
1935,0.000000,0.000135
1936,0.000000,0.000140
1937,0.000000,0.000116
1938,0.000000,0.000127
1939,0.000000,0.000126
1940,0.000000,0.000113
1941,0.000000,0.000117
1942,0.000000,0.000101
1943,0.000000,0.000101
1944,0.000000,0.000113
1945,0.000000,0.000115
1946,0.000000,0.000103
1947,0.000000,0.000097
1948,0.000000,0.000098
1949,0.000000,0.000096
1950,0.000000,0.000104
1951,0.000000,0.000092
1952,0.000000,0.000089
1953,0.000000,0.000101
1954,0.000000,0.000089
1955,0.000000,0.000081
1956,0.000000,0.000099
1957,0.000000,0.000080
1958,0.000001,0.000087
1959,0.000000,0.000100
1960,0.000000,0.000111
1961,0.000000,0.000101
1962,0.000000,0.000101
1963,0.000000,0.000097
1964,0.000000,0.000095
1965,0.000000,0.000080
1966,0.000000,0.000084
1967,0.000000,0.000086
1968,0.000000,0.000079
1969,0.000000,0.000081
1970,0.000000,0.000066
1971,0.000000,0.000076
1972,0.000000,0.000068
1973,0.000000,0.000079
1974,0.000000,0.000070
1975,0.000000,0.000083
1976,0.000000,0.000088
1977,0.000000,0.000079
1978,0.000000,0.000078
1979,0.000000,0.000073
1980,0.000000,0.000088
1981,0.000003,0.000084
1982,0.000000,0.000101
1983,0.000001,0.000122
1984,0.000001,0.000127
1985,0.000001,0.000113
1986,0.000001,0.000092
1987,0.000000,0.000086
1988,0.000000,0.000067
1989,0.000000,0.000069
1990,0.000000,0.000058
1991,0.000000,0.000052
1992,0.000000,0.000050
1993,0.000000,0.000054
1994,0.000000,0.000043
1995,0.000000,0.000046
1996,0.000000,0.000036
1997,0.000000,0.000033
1998,0.000000,0.000043
1999,0.000000,0.000037
2000,0.000000,0.000039
2001,0.000000,0.000041
2002,0.000000,0.000033
2003,0.000000,0.000034
2004,0.000000,0.000032
2005,0.000000,0.000038
2006,0.000000,0.000035
2007,0.000000,0.000038
2008,0.000000,0.000041
2009,0.000000,0.000045
2010,0.000000,0.000062
2011,0.000000,0.000077
2012,0.000000,0.000076
2013,0.000000,0.000088
