year,Lamon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,8
1912,0
1913,7
1914,7
1915,14
1916,0
1917,9
1918,9
1919,0
1920,16
1921,7
1922,6
1923,10
1924,11
1925,12
1926,15
1927,13
1928,8
1929,11
1930,20
1931,7
1932,9
1933,11
1934,16
1935,15
1936,7
1937,10
1938,7
1939,9
1940,9
1941,14
1942,6
1943,10
1944,7
1945,9
1946,5
1947,13
1948,10
1949,9
1950,9
1951,12
1952,8
1953,13
1954,12
1955,15
1956,11
1957,10
1958,10
1959,8
1960,8
1961,7
1962,10
1963,8
1964,8
1965,8
1966,14
1967,16
1968,18
1969,17
1970,20
1971,34
1972,32
1973,19
1974,36
1975,23
1976,26
1977,31
1978,30
1979,26
1980,33
1981,20
1982,18
1983,19
1984,10
1985,20
1986,10
1987,16
1988,13
1989,24
1990,22
1991,12
1992,14
1993,14
1994,17
1995,15
1996,16
1997,15
1998,15
1999,12
2000,20
2001,16
2002,17
2003,15
2004,16
2005,20
2006,14
2007,17
2008,9
2009,13
2010,11
2011,10
2012,12
