year,Lashell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,5
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,7
1959,8
1960,14
1961,11
1962,8
1963,16
1964,11
1965,19
1966,20
1967,28
1968,32
1969,24
1970,37
1971,42
1972,40
1973,25
1974,25
1975,20
1976,28
1977,25
1978,31
1979,33
1980,23
1981,28
1982,33
1983,30
1984,33
1985,23
1986,18
1987,23
1988,23
1989,33
1990,18
1991,21
1992,20
1993,19
1994,18
1995,15
1996,6
1997,8
1998,13
1999,11
2000,8
2001,8
2002,7
2003,7
2004,7
2005,10
2006,7
2007,7
2008,0
2009,0
2010,0
2011,7
2012,0
