year,Loma
1880,7
1881,5
1882,10
1883,0
1884,6
1885,0
1886,6
1887,7
1888,0
1889,0
1890,5
1891,0
1892,9
1893,12
1894,14
1895,11
1896,17
1897,13
1898,18
1899,15
1900,25
1901,24
1902,20
1903,20
1904,18
1905,25
1906,24
1907,20
1908,21
1909,23
1910,16
1911,24
1912,39
1913,45
1914,43
1915,56
1916,39
1917,62
1918,60
1919,47
1920,56
1921,74
1922,53
1923,61
1924,64
1925,37
1926,46
1927,44
1928,56
1929,41
1930,36
1931,46
1932,22
1933,35
1934,28
1935,35
1936,28
1937,20
1938,39
1939,32
1940,34
1941,24
1942,35
1943,34
1944,30
1945,31
1946,27
1947,34
1948,32
1949,29
1950,27
1951,24
1952,20
1953,23
1954,22
1955,18
1956,17
1957,11
1958,14
1959,9
1960,13
1961,15
1962,12
1963,18
1964,13
1965,11
1966,7
1967,5
1968,11
1969,8
1970,6
1971,0
1972,5
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,0
1983,0
1984,0
1985,5
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
