year,Leitha
1880,7
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,6
1897,0
1898,0
1899,0
1900,8
1901,6
1902,5
1903,6
1904,0
1905,7
1906,15
1907,9
1908,10
1909,7
1910,10
1911,0
1912,10
1913,10
1914,9
1915,10
1916,22
1917,22
1918,19
1919,18
1920,9
1921,13
1922,20
1923,16
1924,19
1925,13
1926,13
1927,14
1928,7
1929,7
1930,10
1931,10
1932,7
1933,11
1934,10
1935,5
1936,5
1937,8
1938,6
1939,6
1940,10
1941,6
1942,10
1943,6
1944,7
1945,6
1946,0
1947,12
1948,11
1949,16
1950,13
1951,10
1952,11
1953,6
1954,11
1955,0
1956,8
1957,12
1958,8
1959,10
1960,12
1961,9
1962,17
1963,8
1964,9
1965,8
1966,12
1967,9
1968,9
1969,11
1970,5
1971,0
1972,9
1973,7
1974,0
1975,0
1976,0
1977,8
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
