year,Lucius (F),Lucius (M)
1880,0.000000,0.000189
1881,0.000000,0.000197
1882,0.000000,0.000190
1883,0.000000,0.000115
1884,0.000000,0.000127
1885,0.000000,0.000162
1886,0.000000,0.000117
1887,0.000000,0.000097
1888,0.000000,0.000114
1889,0.000000,0.000090
1890,0.000000,0.000100
1891,0.000000,0.000073
1892,0.000000,0.000102
1893,0.000000,0.000089
1894,0.000000,0.000089
1895,0.000000,0.000080
1896,0.000000,0.000076
1897,0.000000,0.000107
1898,0.000000,0.000073
1899,0.000000,0.000080
1900,0.000000,0.000089
1901,0.000000,0.000087
1902,0.000000,0.000093
1903,0.000000,0.000066
1904,0.000000,0.000074
1905,0.000000,0.000087
1906,0.000000,0.000084
1907,0.000000,0.000086
1908,0.000000,0.000070
1909,0.000000,0.000084
1910,0.000000,0.000081
1911,0.000000,0.000057
1912,0.000000,0.000092
1913,0.000000,0.000079
1914,0.000000,0.000074
1915,0.000000,0.000065
1916,0.000000,0.000078
1917,0.000000,0.000055
1918,0.000000,0.000062
1919,0.000000,0.000067
1920,0.000000,0.000061
1921,0.000000,0.000057
1922,0.000000,0.000058
1923,0.000000,0.000046
1924,0.000000,0.000050
1925,0.000000,0.000043
1926,0.000000,0.000051
1927,0.000000,0.000051
1928,0.000000,0.000043
1929,0.000000,0.000037
1930,0.000000,0.000039
1931,0.000000,0.000033
1932,0.000000,0.000050
1933,0.000000,0.000039
1934,0.000000,0.000032
1935,0.000000,0.000034
1936,0.000000,0.000030
1937,0.000000,0.000038
1938,0.000000,0.000042
1939,0.000000,0.000039
1940,0.000000,0.000031
1941,0.000000,0.000032
1942,0.000000,0.000023
1943,0.000000,0.000037
1944,0.000000,0.000022
1945,0.000000,0.000028
1946,0.000000,0.000022
1947,0.000000,0.000022
1948,0.000000,0.000026
1949,0.000000,0.000025
1950,0.000000,0.000022
1951,0.000000,0.000026
1952,0.000000,0.000020
1953,0.000000,0.000022
1954,0.000000,0.000015
1955,0.000000,0.000017
1956,0.000000,0.000017
1957,0.000000,0.000018
1958,0.000000,0.000015
1959,0.000000,0.000016
1960,0.000000,0.000014
1961,0.000000,0.000015
1962,0.000000,0.000012
1963,0.000000,0.000013
1964,0.000000,0.000012
1965,0.000000,0.000012
1966,0.000000,0.000014
1967,0.000000,0.000016
1968,0.000000,0.000017
1969,0.000000,0.000012
1970,0.000000,0.000011
1971,0.000000,0.000013
1972,0.000000,0.000012
1973,0.000000,0.000014
1974,0.000000,0.000011
1975,0.000000,0.000011
1976,0.000000,0.000015
1977,0.000000,0.000011
1978,0.000000,0.000015
1979,0.000000,0.000014
1980,0.000000,0.000013
1981,0.000000,0.000013
1982,0.000000,0.000011
1983,0.000000,0.000012
1984,0.000000,0.000009
1985,0.000000,0.000008
1986,0.000000,0.000007
1987,0.000000,0.000008
1988,0.000000,0.000009
1989,0.000000,0.000009
1990,0.000000,0.000008
1991,0.000000,0.000007
1992,0.000000,0.000007
1993,0.000000,0.000007
1994,0.000000,0.000005
1995,0.000000,0.000004
1996,0.000000,0.000010
1997,0.000000,0.000006
1998,0.000000,0.000007
1999,0.000000,0.000005
2000,0.000000,0.000007
2001,0.000000,0.000013
2002,0.000000,0.000014
2003,0.000000,0.000013
2004,0.000000,0.000018
2005,0.000000,0.000028
2006,0.000000,0.000034
2007,0.000000,0.000035
2008,0.000000,0.000032
2009,0.000000,0.000034
2010,0.000000,0.000035
2011,0.000000,0.000035
2012,0.000000,0.000032
