year,Lorayne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,6
1905,0
1906,0
1907,0
1908,6
1909,5
1910,7
1911,6
1912,13
1913,14
1914,14
1915,20
1916,37
1917,27
1918,45
1919,38
1920,60
1921,51
1922,64
1923,43
1924,55
1925,48
1926,32
1927,27
1928,31
1929,23
1930,22
1931,17
1932,15
1933,0
1934,12
1935,7
1936,10
1937,10
1938,5
1939,11
1940,12
1941,8
1942,13
1943,18
1944,10
1945,10
1946,17
1947,16
1948,9
1949,10
1950,14
1951,14
1952,20
1953,9
1954,9
1955,12
1956,13
1957,13
1958,8
1959,12
1960,15
1961,8
1962,13
1963,12
1964,7
1965,0
1966,8
1967,7
1968,0
1969,9
1970,7
1971,0
1972,7
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,6
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,5
2011,0
2012,0
