year,Liane
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,0
1922,0
1923,5
1924,0
1925,0
1926,6
1927,0
1928,6
1929,6
1930,7
1931,21
1932,13
1933,12
1934,15
1935,12
1936,6
1937,13
1938,12
1939,20
1940,23
1941,19
1942,21
1943,16
1944,12
1945,20
1946,16
1947,17
1948,37
1949,35
1950,46
1951,64
1952,56
1953,78
1954,62
1955,71
1956,85
1957,70
1958,89
1959,124
1960,97
1961,109
1962,79
1963,88
1964,72
1965,69
1966,73
1967,62
1968,102
1969,122
1970,123
1971,92
1972,89
1973,63
1974,71
1975,71
1976,39
1977,66
1978,44
1979,87
1980,56
1981,67
1982,55
1983,34
1984,55
1985,57
1986,77
1987,55
1988,57
1989,56
1990,51
1991,47
1992,44
1993,37
1994,33
1995,31
1996,18
1997,15
1998,25
1999,21
2000,8
2001,20
2002,13
2003,13
2004,8
2005,6
2006,13
2007,13
2008,14
2009,0
2010,9
2011,8
2012,11
