year,Leeann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,5
1929,0
1930,0
1931,0
1932,7
1933,0
1934,0
1935,16
1936,17
1937,22
1938,26
1939,18
1940,30
1941,25
1942,36
1943,37
1944,33
1945,43
1946,50
1947,57
1948,48
1949,43
1950,53
1951,60
1952,61
1953,70
1954,114
1955,152
1956,168
1957,229
1958,217
1959,230
1960,295
1961,332
1962,359
1963,338
1964,294
1965,302
1966,263
1967,264
1968,302
1969,303
1970,299
1971,254
1972,213
1973,215
1974,207
1975,211
1976,201
1977,195
1978,192
1979,343
1980,283
1981,325
1982,295
1983,269
1984,265
1985,249
1986,280
1987,271
1988,287
1989,257
1990,243
1991,217
1992,223
1993,211
1994,192
1995,181
1996,191
1997,174
1998,206
1999,178
2000,170
2001,166
2002,151
2003,118
2004,141
2005,111
2006,136
2007,118
2008,114
2009,112
2010,99
2011,104
2012,87
