year,Lawanna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,8
1922,5
1923,11
1924,7
1925,9
1926,5
1927,7
1928,16
1929,15
1930,15
1931,9
1932,10
1933,19
1934,18
1935,28
1936,22
1937,20
1938,23
1939,34
1940,36
1941,30
1942,20
1943,26
1944,24
1945,19
1946,25
1947,37
1948,31
1949,27
1950,44
1951,32
1952,37
1953,43
1954,47
1955,46
1956,48
1957,64
1958,51
1959,51
1960,64
1961,49
1962,62
1963,50
1964,74
1965,44
1966,47
1967,42
1968,55
1969,37
1970,59
1971,62
1972,64
1973,62
1974,50
1975,57
1976,49
1977,53
1978,56
1979,53
1980,44
1981,39
1982,26
1983,18
1984,20
1985,25
1986,21
1987,19
1988,13
1989,6
1990,15
1991,6
1992,10
1993,0
1994,0
1995,7
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
