year,Lance (F),Lance (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000015
1900,0.000000,0.000018
1901,0.000000,0.000020
1902,0.000000,0.000021
1903,0.000000,0.000013
1904,0.000000,0.000015
1905,0.000000,0.000017
1906,0.000000,0.000014
1907,0.000000,0.000000
1908,0.000000,0.000016
1909,0.000000,0.000012
1910,0.000000,0.000008
1911,0.000000,0.000008
1912,0.000000,0.000006
1913,0.000000,0.000011
1914,0.000000,0.000018
1915,0.000000,0.000013
1916,0.000000,0.000011
1917,0.000000,0.000016
1918,0.000000,0.000012
1919,0.000000,0.000014
1920,0.000000,0.000016
1921,0.000000,0.000017
1922,0.000000,0.000017
1923,0.000000,0.000010
1924,0.000000,0.000011
1925,0.000000,0.000011
1926,0.000000,0.000013
1927,0.000000,0.000013
1928,0.000000,0.000011
1929,0.000000,0.000013
1930,0.000000,0.000012
1931,0.000000,0.000011
1932,0.000000,0.000011
1933,0.000000,0.000018
1934,0.000000,0.000009
1935,0.000000,0.000020
1936,0.000000,0.000035
1937,0.000000,0.000033
1938,0.000000,0.000121
1939,0.000000,0.000132
1940,0.000000,0.000110
1941,0.000000,0.000101
1942,0.000000,0.000124
1943,0.000000,0.000104
1944,0.000000,0.000150
1945,0.000000,0.000151
1946,0.000000,0.000130
1947,0.000000,0.000168
1948,0.000000,0.000177
1949,0.000000,0.000177
1950,0.000000,0.000209
1951,0.000000,0.000203
1952,0.000000,0.000186
1953,0.000000,0.000185
1954,0.000000,0.000231
1955,0.000000,0.000263
1956,0.000001,0.000271
1957,0.000001,0.000275
1958,0.000000,0.000274
1959,0.000001,0.000344
1960,0.000002,0.000452
1961,0.000000,0.000436
1962,0.000001,0.000496
1963,0.000002,0.000473
1964,0.000002,0.000538
1965,0.000002,0.000483
1966,0.000000,0.000523
1967,0.000002,0.000532
1968,0.000004,0.000591
1969,0.000003,0.000872
1970,0.000004,0.001155
1971,0.000004,0.000926
1972,0.000005,0.000718
1973,0.000005,0.000559
1974,0.000002,0.000502
1975,0.000000,0.000496
1976,0.000003,0.000572
1977,0.000004,0.000606
1978,0.000003,0.000621
1979,0.000007,0.000562
1980,0.000004,0.000519
1981,0.000003,0.000488
1982,0.000004,0.000562
1983,0.000003,0.000567
1984,0.000004,0.000613
1985,0.000002,0.000603
1986,0.000003,0.000577
1987,0.000003,0.000553
1988,0.000003,0.000511
1989,0.000004,0.000474
1990,0.000001,0.000429
1991,0.000002,0.000404
1992,0.000000,0.000393
1993,0.000000,0.000334
1994,0.000000,0.000301
1995,0.000000,0.000299
1996,0.000000,0.000287
1997,0.000000,0.000253
1998,0.000000,0.000239
1999,0.000000,0.000272
2000,0.000000,0.000323
2001,0.000000,0.000344
2002,0.000000,0.000330
2003,0.000000,0.000307
2004,0.000001,0.000304
2005,0.000000,0.000326
2006,0.000000,0.000253
2007,0.000000,0.000207
2008,0.000000,0.000191
2009,0.000000,0.000167
2010,0.000000,0.000163
2011,0.000000,0.000158
2012,0.000000,0.000148
