year,Lanelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,0
1911,0
1912,0
1913,8
1914,15
1915,9
1916,22
1917,24
1918,28
1919,17
1920,23
1921,22
1922,22
1923,18
1924,32
1925,21
1926,28
1927,27
1928,27
1929,19
1930,28
1931,19
1932,22
1933,22
1934,24
1935,25
1936,29
1937,28
1938,21
1939,26
1940,24
1941,12
1942,22
1943,20
1944,12
1945,17
1946,10
1947,20
1948,23
1949,14
1950,19
1951,14
1952,18
1953,14
1954,16
1955,14
1956,16
1957,19
1958,18
1959,15
1960,9
1961,24
1962,12
1963,14
1964,10
1965,15
1966,13
1967,10
1968,19
1969,15
1970,18
1971,29
1972,18
1973,19
1974,15
1975,7
1976,15
1977,16
1978,15
1979,10
1980,7
1981,16
1982,16
1983,6
1984,11
1985,0
1986,5
1987,10
1988,16
1989,10
1990,8
1991,6
1992,7
1993,6
1994,7
1995,0
1996,7
1997,6
1998,6
1999,5
2000,0
2001,0
2002,10
2003,6
2004,6
2005,6
2006,5
2007,6
2008,12
2009,8
2010,5
2011,14
2012,6
