year,Lavern (F),Lavern (M)
1880,0.000000,0.000025
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000020
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000021
1893,0.000015,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000014
1897,0.000026,0.000014
1898,0.000021,0.000000
1899,0.000000,0.000018
1900,0.000016,0.000013
1901,0.000023,0.000000
1902,0.000023,0.000013
1903,0.000016,0.000000
1904,0.000020,0.000017
1905,0.000019,0.000031
1906,0.000000,0.000019
1907,0.000017,0.000019
1908,0.000031,0.000020
1909,0.000027,0.000031
1910,0.000029,0.000029
1911,0.000037,0.000037
1912,0.000018,0.000055
1913,0.000030,0.000059
1914,0.000037,0.000061
1915,0.000037,0.000074
1916,0.000033,0.000074
1917,0.000050,0.000077
1918,0.000059,0.000088
1919,0.000053,0.000104
1920,0.000058,0.000104
1921,0.000060,0.000108
1922,0.000052,0.000118
1923,0.000057,0.000125
1924,0.000061,0.000122
1925,0.000054,0.000110
1926,0.000062,0.000107
1927,0.000061,0.000118
1928,0.000055,0.000117
1929,0.000054,0.000115
1930,0.000058,0.000118
1931,0.000049,0.000119
1932,0.000057,0.000117
1933,0.000053,0.000113
1934,0.000051,0.000119
1935,0.000054,0.000100
1936,0.000045,0.000084
1937,0.000041,0.000095
1938,0.000044,0.000085
1939,0.000033,0.000077
1940,0.000036,0.000076
1941,0.000039,0.000064
1942,0.000038,0.000055
1943,0.000028,0.000052
1944,0.000035,0.000048
1945,0.000042,0.000045
1946,0.000035,0.000040
1947,0.000034,0.000035
1948,0.000032,0.000037
1949,0.000027,0.000034
1950,0.000024,0.000036
1951,0.000026,0.000023
1952,0.000035,0.000030
1953,0.000026,0.000027
1954,0.000035,0.000021
1955,0.000044,0.000027
1956,0.000039,0.000024
1957,0.000044,0.000021
1958,0.000039,0.000019
1959,0.000039,0.000017
1960,0.000034,0.000023
1961,0.000028,0.000017
1962,0.000027,0.000016
1963,0.000029,0.000014
1964,0.000025,0.000014
1965,0.000020,0.000015
1966,0.000019,0.000018
1967,0.000021,0.000014
1968,0.000017,0.000014
1969,0.000012,0.000014
1970,0.000016,0.000011
1971,0.000013,0.000011
1972,0.000010,0.000011
1973,0.000009,0.000011
1974,0.000011,0.000011
1975,0.000010,0.000007
1976,0.000008,0.000010
1977,0.000008,0.000007
1978,0.000002,0.000004
1979,0.000005,0.000006
1980,0.000005,0.000006
1981,0.000004,0.000007
1982,0.000003,0.000005
1983,0.000004,0.000004
1984,0.000003,0.000006
1985,0.000002,0.000005
1986,0.000004,0.000007
1987,0.000003,0.000006
1988,0.000004,0.000005
1989,0.000003,0.000005
1990,0.000004,0.000006
1991,0.000003,0.000004
1992,0.000002,0.000005
1993,0.000002,0.000006
1994,0.000001,0.000003
1995,0.000000,0.000005
1996,0.000000,0.000006
1997,0.000002,0.000003
1998,0.000000,0.000003
1999,0.000000,0.000005
2000,0.000000,0.000007
2001,0.000000,0.000006
2002,0.000000,0.000006
2003,0.000000,0.000006
2004,0.000000,0.000005
2005,0.000000,0.000006
2006,0.000002,0.000006
2007,0.000000,0.000005
2008,0.000000,0.000006
2009,0.000000,0.000007
2010,0.000000,0.000008
2011,0.000000,0.000005
2012,0.000000,0.000005
2013,0.000000,0.000007
2014,0.000000,0.000006
2015,0.000000,0.000005
2016,0.000000,0.000006
2017,0.000000,0.000006
2018,0.000000,0.000005
2019,0.000000,0.000006
2020,0.000000,0.000007
