year,Lonna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,5
1919,0
1920,0
1921,0
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,0
1929,0
1930,7
1931,0
1932,0
1933,8
1934,7
1935,10
1936,0
1937,8
1938,10
1939,14
1940,86
1941,73
1942,63
1943,68
1944,59
1945,73
1946,81
1947,91
1948,82
1949,74
1950,79
1951,88
1952,80
1953,79
1954,63
1955,66
1956,66
1957,71
1958,58
1959,81
1960,76
1961,87
1962,78
1963,85
1964,85
1965,65
1966,84
1967,79
1968,82
1969,68
1970,65
1971,62
1972,51
1973,37
1974,48
1975,36
1976,31
1977,24
1978,30
1979,25
1980,30
1981,20
1982,24
1983,26
1984,22
1985,14
1986,19
1987,23
1988,15
1989,19
1990,10
1991,16
1992,13
1993,8
1994,8
1995,14
1996,9
1997,10
1998,0
1999,0
2000,8
2001,8
2002,11
2003,17
2004,19
2005,34
2006,27
2007,16
2008,15
2009,17
2010,14
2011,5
2012,10
