year,Lowell (F),Lowell (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000045
1883,0.000000,0.000037
1884,0.000000,0.000000
1885,0.000000,0.000037
1886,0.000000,0.000043
1887,0.000000,0.000036
1888,0.000000,0.000030
1889,0.000000,0.000066
1890,0.000000,0.000073
1891,0.000000,0.000042
1892,0.000000,0.000033
1893,0.000000,0.000046
1894,0.000000,0.000050
1895,0.000000,0.000080
1896,0.000000,0.000081
1897,0.000000,0.000072
1898,0.000000,0.000073
1899,0.000000,0.000127
1900,0.000000,0.000078
1901,0.000000,0.000069
1902,0.000000,0.000072
1903,0.000000,0.000105
1904,0.000000,0.000079
1905,0.000000,0.000130
1906,0.000000,0.000126
1907,0.000000,0.000114
1908,0.000000,0.000123
1909,0.000014,0.000113
1910,0.000000,0.000120
1911,0.000000,0.000161
1912,0.000008,0.000228
1913,0.000006,0.000283
1914,0.000005,0.000275
1915,0.000006,0.000293
1916,0.000000,0.000273
1917,0.000008,0.000275
1918,0.000006,0.000256
1919,0.000005,0.000288
1920,0.000005,0.000296
1921,0.000006,0.000296
1922,0.000005,0.000305
1923,0.000003,0.000308
1924,0.000006,0.000344
1925,0.000005,0.000304
1926,0.000007,0.000316
1927,0.000004,0.000326
1928,0.000004,0.000335
1929,0.000005,0.000320
1930,0.000000,0.000324
1931,0.000005,0.000518
1932,0.000005,0.000496
1933,0.000005,0.000440
1934,0.000004,0.000497
1935,0.000004,0.000476
1936,0.000003,0.000492
1937,0.000003,0.000461
1938,0.000000,0.000437
1939,0.000003,0.000419
1940,0.000003,0.000378
1941,0.000002,0.000355
1942,0.000002,0.000324
1943,0.000000,0.000286
1944,0.000000,0.000268
1945,0.000003,0.000227
1946,0.000002,0.000203
1947,0.000002,0.000186
1948,0.000001,0.000180
1949,0.000001,0.000182
1950,0.000000,0.000163
1951,0.000000,0.000154
1952,0.000000,0.000128
1953,0.000001,0.000127
1954,0.000000,0.000118
1955,0.000001,0.000117
1956,0.000000,0.000123
1957,0.000002,0.000107
1958,0.000000,0.000109
1959,0.000001,0.000109
1960,0.000000,0.000104
1961,0.000000,0.000094
1962,0.000000,0.000104
1963,0.000000,0.000090
1964,0.000000,0.000091
1965,0.000000,0.000089
1966,0.000000,0.000084
1967,0.000000,0.000080
1968,0.000000,0.000088
1969,0.000000,0.000067
1970,0.000000,0.000066
1971,0.000000,0.000062
1972,0.000000,0.000048
1973,0.000000,0.000051
1974,0.000000,0.000042
1975,0.000000,0.000043
1976,0.000000,0.000048
1977,0.000000,0.000039
1978,0.000000,0.000037
1979,0.000000,0.000039
1980,0.000000,0.000031
1981,0.000001,0.000029
1982,0.000000,0.000035
1983,0.000000,0.000026
1984,0.000000,0.000028
1985,0.000000,0.000029
1986,0.000001,0.000027
1987,0.000000,0.000023
1988,0.000000,0.000025
1989,0.000000,0.000025
1990,0.000000,0.000025
1991,0.000000,0.000022
1992,0.000000,0.000021
1993,0.000000,0.000019
1994,0.000000,0.000013
1995,0.000000,0.000018
1996,0.000000,0.000016
1997,0.000000,0.000014
1998,0.000000,0.000013
1999,0.000000,0.000016
2000,0.000000,0.000015
2001,0.000000,0.000008
2002,0.000000,0.000009
2003,0.000000,0.000010
2004,0.000000,0.000008
2005,0.000000,0.000010
2006,0.000000,0.000010
2007,0.000000,0.000010
2008,0.000000,0.000010
2009,0.000000,0.000010
2010,0.000000,0.000008
2011,0.000000,0.000008
2012,0.000000,0.000013
2013,0.000000,0.000010
2014,0.000000,0.000010
2015,0.000000,0.000012
2016,0.000000,0.000011
2017,0.000000,0.000010
2018,0.000000,0.000012
2019,0.000000,0.000012
2020,0.000000,0.000011
