year,Lige
1880,15
1881,25
1882,22
1883,21
1884,13
1885,16
1886,13
1887,9
1888,24
1889,17
1890,19
1891,18
1892,16
1893,16
1894,15
1895,18
1896,20
1897,12
1898,16
1899,9
1900,25
1901,9
1902,9
1903,8
1904,15
1905,7
1906,12
1907,13
1908,15
1909,13
1910,12
1911,12
1912,23
1913,20
1914,21
1915,30
1916,21
1917,20
1918,30
1919,26
1920,24
1921,17
1922,27
1923,22
1924,19
1925,16
1926,13
1927,25
1928,13
1929,12
1930,12
1931,14
1932,15
1933,12
1934,14
1935,9
1936,12
1937,17
1938,6
1939,19
1940,9
1941,6
1942,8
1943,6
1944,11
1945,9
1946,8
1947,15
1948,21
1949,14
1950,12
1951,8
1952,13
1953,10
1954,7
1955,5
1956,7
1957,5
1958,6
1959,9
1960,7
1961,0
1962,7
1963,9
1964,6
1965,6
1966,0
1967,0
1968,0
1969,5
1970,0
1971,10
1972,0
1973,0
1974,6
1975,5
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,5
1983,5
1984,0
1985,0
1986,6
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,5
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
