year,Loren (F),Loren (M)
1880,0.000000,0.000109
1881,0.000000,0.000114
1882,0.000000,0.000158
1883,0.000000,0.000101
1884,0.000000,0.000078
1885,0.000000,0.000083
1886,0.000000,0.000086
1887,0.000000,0.000093
1888,0.000000,0.000077
1889,0.000000,0.000076
1890,0.000000,0.000086
1891,0.000000,0.000084
1892,0.000000,0.000087
1893,0.000000,0.000061
1894,0.000000,0.000089
1895,0.000000,0.000085
1896,0.000000,0.000090
1897,0.000000,0.000104
1898,0.000000,0.000050
1899,0.000000,0.000088
1900,0.000000,0.000098
1901,0.000000,0.000127
1902,0.000000,0.000085
1903,0.000000,0.000100
1904,0.000000,0.000092
1905,0.000000,0.000111
1906,0.000000,0.000110
1907,0.000000,0.000097
1908,0.000000,0.000094
1909,0.000012,0.000129
1910,0.000000,0.000112
1911,0.000000,0.000120
1912,0.000005,0.000203
1913,0.000000,0.000196
1914,0.000000,0.000193
1915,0.000000,0.000214
1916,0.000006,0.000224
1917,0.000004,0.000211
1918,0.000003,0.000241
1919,0.000004,0.000227
1920,0.000003,0.000234
1921,0.000000,0.000210
1922,0.000003,0.000243
1923,0.000005,0.000251
1924,0.000004,0.000267
1925,0.000003,0.000274
1926,0.000005,0.000264
1927,0.000002,0.000262
1928,0.000004,0.000270
1929,0.000004,0.000252
1930,0.000002,0.000242
1931,0.000006,0.000273
1932,0.000003,0.000256
1933,0.000004,0.000274
1934,0.000003,0.000275
1935,0.000000,0.000274
1936,0.000000,0.000262
1937,0.000002,0.000228
1938,0.000000,0.000259
1939,0.000004,0.000284
1940,0.000000,0.000255
1941,0.000000,0.000231
1942,0.000002,0.000246
1943,0.000005,0.000240
1944,0.000004,0.000228
1945,0.000007,0.000235
1946,0.000007,0.000204
1947,0.000007,0.000193
1948,0.000006,0.000193
1949,0.000006,0.000187
1950,0.000006,0.000183
1951,0.000008,0.000181
1952,0.000009,0.000176
1953,0.000011,0.000179
1954,0.000011,0.000172
1955,0.000017,0.000178
1956,0.000021,0.000156
1957,0.000025,0.000155
1958,0.000024,0.000152
1959,0.000026,0.000147
1960,0.000023,0.000159
1961,0.000020,0.000155
1962,0.000028,0.000156
1963,0.000021,0.000175
1964,0.000030,0.000182
1965,0.000031,0.000181
1966,0.000037,0.000178
1967,0.000033,0.000166
1968,0.000033,0.000169
1969,0.000036,0.000177
1970,0.000029,0.000156
1971,0.000025,0.000137
1972,0.000025,0.000138
1973,0.000024,0.000130
1974,0.000032,0.000117
1975,0.000031,0.000113
1976,0.000032,0.000122
1977,0.000028,0.000107
1978,0.000034,0.000114
1979,0.000038,0.000114
1980,0.000046,0.000114
1981,0.000052,0.000110
1982,0.000056,0.000110
1983,0.000070,0.000121
1984,0.000084,0.000112
1985,0.000084,0.000105
1986,0.000087,0.000103
1987,0.000070,0.000093
1988,0.000088,0.000081
1989,0.000103,0.000075
1990,0.000117,0.000066
1991,0.000102,0.000074
1992,0.000105,0.000066
1993,0.000096,0.000059
1994,0.000093,0.000059
1995,0.000072,0.000050
1996,0.000085,0.000042
1997,0.000092,0.000046
1998,0.000085,0.000039
1999,0.000088,0.000033
2000,0.000088,0.000037
2001,0.000075,0.000032
2002,0.000060,0.000033
2003,0.000063,0.000026
2004,0.000057,0.000028
2005,0.000053,0.000029
2006,0.000049,0.000024
2007,0.000047,0.000023
2008,0.000041,0.000017
2009,0.000037,0.000017
2010,0.000030,0.000019
2011,0.000032,0.000022
2012,0.000032,0.000020
