year,Larraine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,0
1917,0
1918,8
1919,11
1920,13
1921,7
1922,12
1923,10
1924,17
1925,21
1926,18
1927,19
1928,32
1929,23
1930,11
1931,13
1932,16
1933,25
1934,16
1935,7
1936,12
1937,16
1938,6
1939,12
1940,18
1941,20
1942,30
1943,33
1944,35
1945,53
1946,44
1947,66
1948,53
1949,46
1950,19
1951,34
1952,36
1953,38
1954,32
1955,36
1956,24
1957,31
1958,29
1959,22
1960,18
1961,22
1962,23
1963,13
1964,10
1965,13
1966,14
1967,8
1968,13
1969,11
1970,7
1971,5
1972,9
1973,8
1974,0
1975,8
1976,0
1977,7
1978,5
1979,7
1980,0
1981,6
1982,0
1983,0
1984,5
1985,6
1986,5
1987,0
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
