year,Lyssa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,6
1948,5
1949,0
1950,0
1951,0
1952,5
1953,6
1954,8
1955,6
1956,7
1957,6
1958,7
1959,6
1960,12
1961,7
1962,6
1963,9
1964,8
1965,8
1966,9
1967,10
1968,10
1969,10
1970,15
1971,12
1972,13
1973,11
1974,7
1975,6
1976,13
1977,15
1978,7
1979,14
1980,6
1981,11
1982,13
1983,19
1984,46
1985,68
1986,52
1987,59
1988,46
1989,41
1990,43
1991,51
1992,80
1993,52
1994,37
1995,30
1996,36
1997,34
1998,21
1999,31
2000,37
2001,29
2002,26
2003,31
2004,22
2005,26
2006,25
2007,27
2008,23
2009,21
2010,20
2011,35
2012,22
