year,Lanae
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,5
1934,5
1935,0
1936,5
1937,0
1938,6
1939,0
1940,0
1941,0
1942,6
1943,0
1944,0
1945,8
1946,5
1947,11
1948,9
1949,14
1950,12
1951,18
1952,14
1953,14
1954,15
1955,10
1956,19
1957,22
1958,29
1959,17
1960,17
1961,19
1962,31
1963,27
1964,25
1965,32
1966,30
1967,26
1968,26
1969,37
1970,24
1971,27
1972,39
1973,21
1974,24
1975,36
1976,29
1977,21
1978,35
1979,29
1980,38
1981,35
1982,45
1983,47
1984,36
1985,42
1986,44
1987,42
1988,42
1989,51
1990,61
1991,56
1992,69
1993,51
1994,54
1995,41
1996,53
1997,39
1998,45
1999,50
2000,54
2001,58
2002,41
2003,53
2004,42
2005,58
2006,63
2007,75
2008,54
2009,51
2010,63
2011,44
2012,57
