year,Lynnea
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,0
1940,8
1941,5
1942,10
1943,7
1944,17
1945,9
1946,28
1947,16
1948,10
1949,15
1950,20
1951,15
1952,14
1953,15
1954,10
1955,21
1956,19
1957,13
1958,15
1959,14
1960,17
1961,19
1962,11
1963,13
1964,19
1965,22
1966,10
1967,18
1968,17
1969,15
1970,23
1971,18
1972,19
1973,18
1974,8
1975,24
1976,14
1977,19
1978,21
1979,21
1980,30
1981,23
1982,34
1983,24
1984,31
1985,20
1986,23
1987,19
1988,18
1989,30
1990,31
1991,22
1992,35
1993,21
1994,20
1995,23
1996,23
1997,24
1998,33
1999,22
2000,30
2001,17
2002,35
2003,23
2004,28
2005,27
2006,28
2007,23
2008,23
2009,33
2010,23
2011,43
2012,32
