year,Lambert (F),Lambert (M)
1880,0.000000,0.000000
1881,0.000000,0.000047
1882,0.000000,0.000041
1883,0.000000,0.000023
1884,0.000000,0.000033
1885,0.000000,0.000025
1886,0.000000,0.000020
1887,0.000000,0.000028
1888,0.000000,0.000000
1889,0.000000,0.000028
1890,0.000000,0.000020
1891,0.000000,0.000031
1892,0.000000,0.000024
1893,0.000000,0.000025
1894,0.000000,0.000018
1895,0.000000,0.000031
1896,0.000000,0.000014
1897,0.000000,0.000020
1898,0.000000,0.000018
1899,0.000000,0.000032
1900,0.000000,0.000042
1901,0.000000,0.000017
1902,0.000000,0.000023
1903,0.000000,0.000026
1904,0.000000,0.000012
1905,0.000000,0.000024
1906,0.000000,0.000016
1907,0.000000,0.000019
1908,0.000000,0.000016
1909,0.000000,0.000016
1910,0.000000,0.000008
1911,0.000000,0.000020
1912,0.000000,0.000032
1913,0.000000,0.000031
1914,0.000000,0.000043
1915,0.000000,0.000039
1916,0.000000,0.000045
1917,0.000000,0.000042
1918,0.000000,0.000045
1919,0.000000,0.000028
1920,0.000000,0.000034
1921,0.000000,0.000028
1922,0.000000,0.000028
1923,0.000000,0.000032
1924,0.000000,0.000034
1925,0.000000,0.000023
1926,0.000000,0.000030
1927,0.000000,0.000025
1928,0.000000,0.000032
1929,0.000000,0.000025
1930,0.000000,0.000026
1931,0.000000,0.000022
1932,0.000000,0.000020
1933,0.000000,0.000016
1934,0.000000,0.000020
1935,0.000000,0.000019
1936,0.000000,0.000021
1937,0.000000,0.000016
1938,0.000000,0.000013
1939,0.000000,0.000021
1940,0.000000,0.000017
1941,0.000000,0.000018
1942,0.000000,0.000013
1943,0.000000,0.000009
1944,0.000000,0.000015
1945,0.000000,0.000009
1946,0.000000,0.000013
1947,0.000000,0.000009
1948,0.000000,0.000009
1949,0.000000,0.000010
1950,0.000000,0.000009
1951,0.000000,0.000011
1952,0.000000,0.000011
1953,0.000000,0.000012
1954,0.000000,0.000013
1955,0.000000,0.000004
1956,0.000000,0.000008
1957,0.000000,0.000012
1958,0.000000,0.000008
1959,0.000000,0.000008
1960,0.000000,0.000009
1961,0.000000,0.000009
1962,0.000000,0.000008
1963,0.000000,0.000008
1964,0.000000,0.000006
1965,0.000000,0.000005
1966,0.000000,0.000007
1967,0.000000,0.000006
1968,0.000000,0.000004
1969,0.000000,0.000005
1970,0.000000,0.000004
1971,0.000000,0.000007
1972,0.000000,0.000006
1973,0.000000,0.000006
1974,0.000000,0.000004
1975,0.000000,0.000006
1976,0.000000,0.000008
1977,0.000000,0.000005
1978,0.000000,0.000005
1979,0.000000,0.000007
1980,0.000000,0.000006
1981,0.000000,0.000005
1982,0.000000,0.000004
1983,0.000000,0.000004
1984,0.000000,0.000005
1985,0.000000,0.000004
1986,0.000000,0.000005
1987,0.000000,0.000005
1988,0.000000,0.000004
1989,0.000000,0.000003
1990,0.000000,0.000004
1991,0.000000,0.000004
1992,0.000000,0.000005
1993,0.000000,0.000002
1994,0.000000,0.000005
1995,0.000000,0.000001
1996,0.000000,0.000003
1997,0.000000,0.000002
1998,0.000000,0.000002
1999,0.000000,0.000000
2000,0.000000,0.000002
2001,0.000000,0.000002
2002,0.000000,0.000002
2003,0.000000,0.000002
2004,0.000000,0.000001
2005,0.000000,0.000002
2006,0.000000,0.000000
2007,0.000000,0.000001
2008,0.000000,0.000002
2009,0.000000,0.000002
2010,0.000000,0.000000
2011,0.000000,0.000002
2012,0.000000,0.000002
