year,Loreli
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,6
1939,0
1940,0
1941,7
1942,5
1943,0
1944,0
1945,0
1946,0
1947,0
1948,7
1949,0
1950,9
1951,7
1952,13
1953,13
1954,5
1955,9
1956,7
1957,9
1958,9
1959,7
1960,16
1961,9
1962,6
1963,14
1964,5
1965,6
1966,10
1967,7
1968,6
1969,6
1970,5
1971,5
1972,0
1973,0
1974,5
1975,0
1976,5
1977,0
1978,0
1979,5
1980,9
1981,7
1982,0
1983,0
1984,7
1985,0
1986,0
1987,0
1988,0
1989,0
1990,7
1991,9
1992,0
1993,0
1994,0
1995,5
1996,5
1997,0
1998,0
1999,0
2000,7
2001,0
2002,15
2003,23
2004,14
2005,21
2006,17
2007,22
2008,20
2009,22
2010,20
2011,19
2012,13
