year,Lissette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,6
1957,0
1958,13
1959,9
1960,20
1961,10
1962,20
1963,19
1964,27
1965,21
1966,49
1967,175
1968,210
1969,209
1970,218
1971,178
1972,174
1973,151
1974,145
1975,217
1976,150
1977,138
1978,126
1979,127
1980,152
1981,147
1982,129
1983,115
1984,166
1985,198
1986,204
1987,196
1988,196
1989,254
1990,214
1991,199
1992,163
1993,154
1994,196
1995,182
1996,175
1997,164
1998,173
1999,216
2000,164
2001,123
2002,124
2003,110
2004,121
2005,102
2006,88
2007,81
2008,63
2009,47
2010,58
2011,40
2012,54
