year,Leva
1880,0
1881,0
1882,0
1883,6
1884,9
1885,0
1886,0
1887,9
1888,7
1889,7
1890,5
1891,11
1892,5
1893,11
1894,5
1895,14
1896,8
1897,12
1898,13
1899,10
1900,10
1901,20
1902,14
1903,7
1904,8
1905,19
1906,20
1907,15
1908,11
1909,8
1910,9
1911,16
1912,12
1913,13
1914,18
1915,16
1916,20
1917,21
1918,28
1919,23
1920,29
1921,33
1922,17
1923,17
1924,21
1925,15
1926,16
1927,12
1928,16
1929,11
1930,10
1931,10
1932,12
1933,10
1934,9
1935,8
1936,9
1937,6
1938,6
1939,6
1940,5
1941,0
1942,0
1943,5
1944,5
1945,8
1946,8
1947,9
1948,6
1949,0
1950,5
1951,0
1952,6
1953,0
1954,0
1955,0
1956,7
1957,0
1958,0
1959,0
1960,5
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,6
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
