year,Librado
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,9
1911,0
1912,0
1913,6
1914,0
1915,9
1916,10
1917,6
1918,0
1919,7
1920,15
1921,11
1922,12
1923,10
1924,17
1925,14
1926,9
1927,21
1928,12
1929,15
1930,13
1931,11
1932,8
1933,10
1934,12
1935,7
1936,12
1937,9
1938,9
1939,14
1940,11
1941,7
1942,9
1943,10
1944,12
1945,21
1946,22
1947,21
1948,14
1949,18
1950,17
1951,13
1952,12
1953,17
1954,16
1955,16
1956,9
1957,16
1958,7
1959,14
1960,8
1961,13
1962,14
1963,11
1964,10
1965,13
1966,12
1967,15
1968,15
1969,14
1970,11
1971,16
1972,7
1973,13
1974,18
1975,15
1976,19
1977,15
1978,13
1979,12
1980,18
1981,13
1982,14
1983,17
1984,11
1985,16
1986,10
1987,9
1988,15
1989,12
1990,19
1991,15
1992,13
1993,11
1994,13
1995,16
1996,15
1997,13
1998,7
1999,10
2000,10
2001,12
2002,9
2003,7
2004,17
2005,12
2006,13
2007,0
2008,10
2009,8
2010,8
2011,6
2012,5
