year,Lovenia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,8
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,6
1903,6
1904,0
1905,9
1906,7
1907,8
1908,9
1909,0
1910,10
1911,9
1912,8
1913,15
1914,9
1915,15
1916,11
1917,17
1918,19
1919,11
1920,11
1921,16
1922,18
1923,11
1924,14
1925,17
1926,18
1927,18
1928,14
1929,17
1930,12
1931,19
1932,14
1933,7
1934,11
1935,12
1936,10
1937,11
1938,16
1939,11
1940,7
1941,14
1942,11
1943,8
1944,13
1945,14
1946,9
1947,9
1948,7
1949,6
1950,5
1951,5
1952,9
1953,0
1954,10
1955,0
1956,6
1957,7
1958,6
1959,5
1960,0
1961,7
1962,6
1963,7
1964,6
1965,0
1966,6
1967,0
1968,5
1969,0
1970,0
1971,6
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,5
1979,0
1980,7
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
