year,Leonore
1880,0
1881,5
1882,0
1883,7
1884,0
1885,8
1886,5
1887,10
1888,0
1889,6
1890,5
1891,5
1892,14
1893,12
1894,13
1895,12
1896,13
1897,10
1898,11
1899,14
1900,20
1901,5
1902,10
1903,9
1904,12
1905,7
1906,26
1907,15
1908,6
1909,15
1910,19
1911,31
1912,26
1913,31
1914,45
1915,41
1916,66
1917,58
1918,51
1919,56
1920,51
1921,54
1922,61
1923,53
1924,65
1925,61
1926,68
1927,57
1928,70
1929,55
1930,40
1931,40
1932,34
1933,34
1934,28
1935,29
1936,31
1937,22
1938,20
1939,30
1940,20
1941,29
1942,37
1943,31
1944,32
1945,22
1946,23
1947,20
1948,18
1949,22
1950,12
1951,16
1952,12
1953,14
1954,16
1955,15
1956,14
1957,15
1958,16
1959,14
1960,11
1961,9
1962,13
1963,8
1964,14
1965,6
1966,11
1967,8
1968,14
1969,13
1970,12
1971,11
1972,11
1973,17
1974,9
1975,10
1976,11
1977,5
1978,0
1979,0
1980,8
1981,9
1982,6
1983,8
1984,0
1985,0
1986,0
1987,6
1988,0
1989,6
1990,0
1991,5
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
