year,Lasandra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,6
1949,6
1950,9
1951,6
1952,9
1953,13
1954,14
1955,5
1956,9
1957,14
1958,8
1959,11
1960,17
1961,18
1962,24
1963,33
1964,33
1965,32
1966,27
1967,39
1968,55
1969,45
1970,61
1971,67
1972,69
1973,50
1974,69
1975,51
1976,34
1977,37
1978,52
1979,38
1980,43
1981,43
1982,38
1983,34
1984,25
1985,37
1986,20
1987,19
1988,37
1989,33
1990,26
1991,19
1992,27
1993,23
1994,18
1995,14
1996,7
1997,10
1998,11
1999,0
2000,11
2001,5
2002,11
2003,11
2004,0
2005,6
2006,5
2007,6
2008,8
2009,7
2010,0
2011,0
2012,0
