year,Leatrice
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,6
1910,5
1911,8
1912,12
1913,12
1914,7
1915,16
1916,18
1917,17
1918,20
1919,21
1920,45
1921,38
1922,114
1923,231
1924,278
1925,337
1926,319
1927,371
1928,277
1929,276
1930,215
1931,188
1932,165
1933,97
1934,112
1935,93
1936,101
1937,88
1938,70
1939,69
1940,61
1941,76
1942,58
1943,74
1944,60
1945,51
1946,55
1947,68
1948,55
1949,68
1950,65
1951,49
1952,62
1953,60
1954,83
1955,43
1956,49
1957,67
1958,57
1959,55
1960,29
1961,46
1962,51
1963,49
1964,49
1965,52
1966,49
1967,31
1968,45
1969,38
1970,44
1971,37
1972,29
1973,31
1974,29
1975,26
1976,23
1977,24
1978,21
1979,22
1980,23
1981,34
1982,18
1983,18
1984,24
1985,17
1986,26
1987,20
1988,14
1989,16
1990,20
1991,10
1992,11
1993,7
1994,7
1995,5
1996,0
1997,0
1998,0
1999,8
2000,5
2001,0
2002,6
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
