year,Lesley (F),Lesley (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000027
1883,0.000000,0.000023
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000015,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000014
1897,0.000000,0.000014
1898,0.000000,0.000021
1899,0.000000,0.000000
1900,0.000000,0.000022
1901,0.000000,0.000017
1902,0.000000,0.000000
1903,0.000000,0.000045
1904,0.000000,0.000017
1905,0.000000,0.000024
1906,0.000000,0.000016
1907,0.000000,0.000000
1908,0.000000,0.000023
1909,0.000000,0.000012
1910,0.000008,0.000020
1911,0.000000,0.000017
1912,0.000000,0.000019
1913,0.000009,0.000019
1914,0.000004,0.000016
1915,0.000005,0.000015
1916,0.000006,0.000015
1917,0.000002,0.000018
1918,0.000005,0.000019
1919,0.000003,0.000019
1920,0.000007,0.000022
1921,0.000006,0.000017
1922,0.000003,0.000025
1923,0.000004,0.000020
1924,0.000003,0.000017
1925,0.000006,0.000023
1926,0.000007,0.000016
1927,0.000006,0.000022
1928,0.000002,0.000020
1929,0.000006,0.000019
1930,0.000004,0.000018
1931,0.000004,0.000012
1932,0.000002,0.000015
1933,0.000009,0.000018
1934,0.000011,0.000020
1935,0.000013,0.000018
1936,0.000009,0.000015
1937,0.000017,0.000018
1938,0.000018,0.000018
1939,0.000016,0.000020
1940,0.000014,0.000025
1941,0.000023,0.000019
1942,0.000037,0.000022
1943,0.000034,0.000024
1944,0.000048,0.000026
1945,0.000049,0.000018
1946,0.000064,0.000018
1947,0.000060,0.000020
1948,0.000061,0.000021
1949,0.000072,0.000023
1950,0.000072,0.000018
1951,0.000080,0.000023
1952,0.000081,0.000021
1953,0.000077,0.000018
1954,0.000089,0.000019
1955,0.000083,0.000017
1956,0.000072,0.000020
1957,0.000095,0.000020
1958,0.000069,0.000024
1959,0.000073,0.000024
1960,0.000059,0.000018
1961,0.000067,0.000018
1962,0.000075,0.000021
1963,0.000089,0.000022
1964,0.000104,0.000020
1965,0.000205,0.000026
1966,0.000216,0.000029
1967,0.000203,0.000029
1968,0.000196,0.000025
1969,0.000205,0.000019
1970,0.000213,0.000021
1971,0.000247,0.000021
1972,0.000205,0.000021
1973,0.000203,0.000025
1974,0.000257,0.000019
1975,0.000236,0.000019
1976,0.000248,0.000019
1977,0.000267,0.000026
1978,0.000265,0.000014
1979,0.000274,0.000012
1980,0.000269,0.000015
1981,0.000252,0.000017
1982,0.000238,0.000011
1983,0.000212,0.000012
1984,0.000174,0.000012
1985,0.000158,0.000007
1986,0.000146,0.000011
1987,0.000131,0.000007
1988,0.000130,0.000006
1989,0.000102,0.000007
1990,0.000111,0.000007
1991,0.000095,0.000008
1992,0.000092,0.000005
1993,0.000083,0.000006
1994,0.000078,0.000005
1995,0.000075,0.000003
1996,0.000162,0.000004
1997,0.000173,0.000004
1998,0.000189,0.000004
1999,0.000185,0.000006
2000,0.000174,0.000005
2001,0.000136,0.000002
2002,0.000126,0.000003
2003,0.000119,0.000003
2004,0.000118,0.000002
2005,0.000099,0.000002
2006,0.000094,0.000003
2007,0.000088,0.000002
2008,0.000065,0.000001
2009,0.000059,0.000003
2010,0.000059,0.000002
2011,0.000048,0.000002
2012,0.000036,0.000000
2013,0.000033,0.000000
