year,Lizzette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,5
1957,0
1958,0
1959,5
1960,7
1961,0
1962,10
1963,17
1964,10
1965,18
1966,32
1967,52
1968,43
1969,44
1970,36
1971,33
1972,15
1973,22
1974,17
1975,37
1976,25
1977,15
1978,22
1979,38
1980,34
1981,41
1982,31
1983,18
1984,34
1985,42
1986,51
1987,50
1988,37
1989,55
1990,55
1991,50
1992,46
1993,43
1994,45
1995,44
1996,36
1997,30
1998,32
1999,63
2000,35
2001,31
2002,35
2003,30
2004,39
2005,30
2006,24
2007,17
2008,19
2009,27
2010,18
2011,8
2012,19
