year,Luetta
1880,0
1881,0
1882,9
1883,11
1884,7
1885,8
1886,7
1887,0
1888,9
1889,10
1890,5
1891,5
1892,6
1893,18
1894,14
1895,13
1896,13
1897,10
1898,6
1899,16
1900,14
1901,10
1902,10
1903,9
1904,12
1905,11
1906,13
1907,12
1908,16
1909,13
1910,25
1911,14
1912,26
1913,24
1914,35
1915,40
1916,29
1917,44
1918,40
1919,44
1920,49
1921,44
1922,38
1923,46
1924,56
1925,53
1926,65
1927,74
1928,77
1929,77
1930,54
1931,66
1932,37
1933,39
1934,31
1935,30
1936,34
1937,33
1938,24
1939,27
1940,26
1941,28
1942,35
1943,31
1944,26
1945,21
1946,24
1947,20
1948,12
1949,19
1950,13
1951,19
1952,13
1953,14
1954,15
1955,14
1956,17
1957,15
1958,12
1959,15
1960,15
1961,10
1962,7
1963,6
1964,6
1965,6
1966,9
1967,5
1968,5
1969,0
1970,0
1971,7
1972,0
1973,0
1974,0
1975,5
1976,0
1977,0
1978,0
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,6
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
