year,Lavera
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,9
1896,0
1897,8
1898,6
1899,10
1900,13
1901,0
1902,6
1903,14
1904,13
1905,5
1906,17
1907,11
1908,13
1909,11
1910,18
1911,13
1912,20
1913,32
1914,41
1915,41
1916,64
1917,53
1918,59
1919,63
1920,60
1921,72
1922,74
1923,62
1924,74
1925,77
1926,63
1927,62
1928,56
1929,53
1930,65
1931,44
1932,56
1933,43
1934,43
1935,31
1936,41
1937,37
1938,32
1939,37
1940,31
1941,37
1942,41
1943,28
1944,19
1945,25
1946,26
1947,29
1948,25
1949,33
1950,24
1951,23
1952,21
1953,24
1954,24
1955,20
1956,17
1957,17
1958,14
1959,25
1960,26
1961,18
1962,19
1963,17
1964,19
1965,15
1966,18
1967,19
1968,13
1969,12
1970,13
1971,16
1972,5
1973,12
1974,10
1975,10
1976,7
1977,10
1978,12
1979,5
1980,11
1981,10
1982,14
1983,12
1984,0
1985,10
1986,12
1987,11
1988,7
1989,10
1990,8
1991,5
1992,8
1993,0
1994,7
1995,7
1996,5
1997,0
1998,7
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,6
2006,5
2007,0
2008,0
2009,6
2010,5
2011,5
2012,6
