year,Loralee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,5
1923,0
1924,5
1925,0
1926,11
1927,6
1928,11
1929,8
1930,7
1931,0
1932,5
1933,11
1934,11
1935,14
1936,10
1937,18
1938,48
1939,37
1940,30
1941,21
1942,24
1943,28
1944,22
1945,25
1946,27
1947,34
1948,33
1949,28
1950,38
1951,32
1952,29
1953,29
1954,39
1955,33
1956,28
1957,30
1958,30
1959,31
1960,25
1961,29
1962,41
1963,30
1964,45
1965,48
1966,39
1967,46
1968,34
1969,24
1970,26
1971,28
1972,24
1973,16
1974,47
1975,28
1976,23
1977,14
1978,18
1979,17
1980,25
1981,17
1982,17
1983,11
1984,12
1985,16
1986,12
1987,14
1988,0
1989,17
1990,13
1991,6
1992,0
1993,8
1994,6
1995,0
1996,9
1997,13
1998,0
1999,9
2000,0
2001,8
2002,8
2003,6
2004,9
2005,9
2006,6
2007,8
2008,8
2009,7
2010,6
2011,8
2012,8
