year,Lonnie (F),Lonnie (M)
1880,0.000065,0.000263
1881,0.000026,0.000400
1882,0.000059,0.000352
1883,0.000041,0.000419
1884,0.000021,0.000361
1885,0.000062,0.000307
1886,0.000059,0.000345
1887,0.000061,0.000307
1888,0.000037,0.000337
1889,0.000083,0.000367
1890,0.000053,0.000355
1891,0.000059,0.000408
1892,0.000036,0.000359
1893,0.000083,0.000351
1894,0.000068,0.000407
1895,0.000066,0.000342
1896,0.000031,0.000445
1897,0.000075,0.000329
1898,0.000066,0.000338
1899,0.000074,0.000351
1900,0.000073,0.000413
1901,0.000061,0.000428
1902,0.000065,0.000357
1903,0.000079,0.000380
1904,0.000042,0.000330
1905,0.000083,0.000422
1906,0.000100,0.000364
1907,0.000067,0.000391
1908,0.000047,0.000346
1909,0.000068,0.000409
1910,0.000074,0.000367
1911,0.000047,0.000331
1912,0.000044,0.000331
1913,0.000042,0.000309
1914,0.000036,0.000330
1915,0.000032,0.000298
1916,0.000029,0.000293
1917,0.000033,0.000297
1918,0.000038,0.000303
1919,0.000037,0.000281
1920,0.000041,0.000327
1921,0.000030,0.000275
1922,0.000040,0.000308
1923,0.000030,0.000291
1924,0.000037,0.000301
1925,0.000041,0.000303
1926,0.000029,0.000287
1927,0.000037,0.000306
1928,0.000031,0.000313
1929,0.000040,0.000329
1930,0.000031,0.000322
1931,0.000038,0.000342
1932,0.000030,0.000360
1933,0.000035,0.000368
1934,0.000036,0.000363
1935,0.000033,0.000363
1936,0.000039,0.000361
1937,0.000035,0.000401
1938,0.000038,0.000451
1939,0.000039,0.000486
1940,0.000045,0.000479
1941,0.000040,0.000494
1942,0.000032,0.000482
1943,0.000040,0.000518
1944,0.000045,0.000533
1945,0.000051,0.000551
1946,0.000044,0.000556
1947,0.000042,0.000578
1948,0.000040,0.000591
1949,0.000032,0.000579
1950,0.000038,0.000571
1951,0.000032,0.000528
1952,0.000032,0.000497
1953,0.000034,0.000499
1954,0.000026,0.000495
1955,0.000025,0.000463
1956,0.000029,0.000488
1957,0.000028,0.000488
1958,0.000027,0.000430
1959,0.000023,0.000427
1960,0.000023,0.000410
1961,0.000024,0.000385
1962,0.000021,0.000387
1963,0.000025,0.000398
1964,0.000022,0.000411
1965,0.000020,0.000415
1966,0.000016,0.000411
1967,0.000016,0.000390
1968,0.000019,0.000428
1969,0.000016,0.000399
1970,0.000021,0.000383
1971,0.000011,0.000371
1972,0.000015,0.000349
1973,0.000019,0.000327
1974,0.000012,0.000303
1975,0.000014,0.000289
1976,0.000011,0.000274
1977,0.000011,0.000268
1978,0.000008,0.000220
1979,0.000012,0.000221
1980,0.000013,0.000202
1981,0.000011,0.000185
1982,0.000009,0.000186
1983,0.000012,0.000150
1984,0.000006,0.000145
1985,0.000007,0.000133
1986,0.000005,0.000118
1987,0.000009,0.000111
1988,0.000005,0.000112
1989,0.000007,0.000108
1990,0.000005,0.000095
1991,0.000004,0.000101
1992,0.000005,0.000092
1993,0.000004,0.000084
1994,0.000003,0.000086
1995,0.000004,0.000072
1996,0.000004,0.000067
1997,0.000004,0.000062
1998,0.000000,0.000053
1999,0.000002,0.000056
2000,0.000003,0.000051
2001,0.000002,0.000048
2002,0.000002,0.000048
2003,0.000000,0.000039
2004,0.000003,0.000040
2005,0.000003,0.000043
2006,0.000000,0.000042
2007,0.000001,0.000028
2008,0.000001,0.000038
2009,0.000002,0.000037
2010,0.000002,0.000034
2011,0.000002,0.000031
2012,0.000002,0.000031
2013,0.000002,0.000032
2014,0.000002,0.000033
2015,0.000003,0.000033
2016,0.000003,0.000031
2017,0.000003,0.000024
2018,0.000005,0.000027
2019,0.000003,0.000026
2020,0.000003,0.000029
