year,Lorinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,6
1887,0
1888,0
1889,0
1890,0
1891,5
1892,6
1893,0
1894,0
1895,0
1896,6
1897,0
1898,0
1899,0
1900,6
1901,6
1902,0
1903,0
1904,7
1905,12
1906,5
1907,5
1908,0
1909,5
1910,5
1911,0
1912,0
1913,8
1914,12
1915,12
1916,12
1917,11
1918,17
1919,6
1920,16
1921,6
1922,0
1923,11
1924,14
1925,5
1926,8
1927,6
1928,7
1929,6
1930,9
1931,0
1932,6
1933,0
1934,0
1935,9
1936,7
1937,11
1938,15
1939,12
1940,20
1941,23
1942,24
1943,25
1944,26
1945,29
1946,53
1947,56
1948,64
1949,58
1950,65
1951,83
1952,68
1953,82
1954,81
1955,104
1956,120
1957,123
1958,138
1959,110
1960,116
1961,130
1962,159
1963,165
1964,146
1965,168
1966,127
1967,129
1968,138
1969,165
1970,147
1971,149
1972,100
1973,107
1974,93
1975,102
1976,79
1977,76
1978,67
1979,53
1980,71
1981,53
1982,46
1983,50
1984,27
1985,29
1986,22
1987,23
1988,28
1989,25
1990,21
1991,19
1992,13
1993,17
1994,16
1995,11
1996,13
1997,9
1998,11
1999,5
2000,8
2001,11
2002,13
2003,8
2004,8
2005,5
2006,0
2007,0
2008,0
2009,5
2010,5
2011,0
2012,0
