year,Laquetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,5
1934,0
1935,5
1936,0
1937,9
1938,8
1939,7
1940,13
1941,6
1942,5
1943,5
1944,10
1945,0
1946,0
1947,9
1948,0
1949,10
1950,7
1951,9
1952,11
1953,10
1954,11
1955,13
1956,16
1957,6
1958,6
1959,14
1960,11
1961,15
1962,11
1963,15
1964,14
1965,10
1966,7
1967,12
1968,11
1969,17
1970,20
1971,16
1972,22
1973,20
1974,21
1975,27
1976,25
1977,27
1978,34
1979,35
1980,39
1981,37
1982,37
1983,35
1984,31
1985,33
1986,30
1987,44
1988,36
1989,27
1990,42
1991,24
1992,15
1993,17
1994,7
1995,7
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
