year,Latia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,0
1970,12
1971,14
1972,16
1973,12
1974,17
1975,36
1976,29
1977,49
1978,53
1979,74
1980,107
1981,132
1982,134
1983,133
1984,139
1985,131
1986,123
1987,144
1988,115
1989,130
1990,143
1991,144
1992,115
1993,79
1994,104
1995,85
1996,77
1997,63
1998,86
1999,47
2000,43
2001,38
2002,33
2003,17
2004,28
2005,24
2006,27
2007,17
2008,23
2009,17
2010,14
2011,15
2012,12
