year,Lenette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,5
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,5
1933,0
1934,0
1935,0
1936,5
1937,0
1938,0
1939,6
1940,8
1941,0
1942,10
1943,6
1944,16
1945,11
1946,11
1947,11
1948,15
1949,15
1950,11
1951,12
1952,14
1953,17
1954,25
1955,22
1956,18
1957,30
1958,28
1959,29
1960,37
1961,30
1962,35
1963,23
1964,37
1965,35
1966,37
1967,22
1968,31
1969,34
1970,28
1971,16
1972,28
1973,20
1974,16
1975,17
1976,10
1977,14
1978,10
1979,17
1980,12
1981,10
1982,10
1983,10
1984,13
1985,11
1986,10
1987,11
1988,10
1989,8
1990,9
1991,8
1992,9
1993,8
1994,5
1995,0
1996,7
1997,0
1998,5
1999,7
2000,0
2001,5
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,6
2009,0
2010,0
2011,0
2012,0
