year,Laurel (F),Laurel (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000055,0.000000
1884,0.000025,0.000000
1885,0.000021,0.000000
1886,0.000027,0.000000
1887,0.000024,0.000020
1888,0.000000,0.000000
1889,0.000021,0.000017
1890,0.000023,0.000000
1891,0.000035,0.000000
1892,0.000033,0.000000
1893,0.000028,0.000000
1894,0.000047,0.000000
1895,0.000014,0.000014
1896,0.000017,0.000017
1897,0.000026,0.000000
1898,0.000037,0.000013
1899,0.000032,0.000000
1900,0.000022,0.000000
1901,0.000043,0.000000
1902,0.000026,0.000016
1903,0.000000,0.000016
1904,0.000040,0.000022
1905,0.000019,0.000014
1906,0.000016,0.000000
1907,0.000017,0.000000
1908,0.000033,0.000014
1909,0.000035,0.000000
1910,0.000020,0.000010
1911,0.000026,0.000017
1912,0.000023,0.000023
1913,0.000026,0.000019
1914,0.000023,0.000025
1915,0.000022,0.000022
1916,0.000019,0.000016
1917,0.000027,0.000022
1918,0.000030,0.000020
1919,0.000025,0.000014
1920,0.000030,0.000024
1921,0.000027,0.000024
1922,0.000039,0.000024
1923,0.000088,0.000024
1924,0.000074,0.000020
1925,0.000058,0.000017
1926,0.000074,0.000030
1927,0.000096,0.000028
1928,0.000073,0.000017
1929,0.000067,0.000019
1930,0.000063,0.000015
1931,0.000060,0.000016
1932,0.000056,0.000023
1933,0.000051,0.000019
1934,0.000046,0.000023
1935,0.000049,0.000014
1936,0.000039,0.000018
1937,0.000060,0.000014
1938,0.000127,0.000012
1939,0.000160,0.000013
1940,0.000125,0.000015
1941,0.000122,0.000009
1942,0.000108,0.000014
1943,0.000106,0.000009
1944,0.000130,0.000009
1945,0.000200,0.000009
1946,0.000212,0.000006
1947,0.000215,0.000008
1948,0.000199,0.000005
1949,0.000199,0.000007
1950,0.000216,0.000005
1951,0.000231,0.000005
1952,0.000234,0.000005
1953,0.000243,0.000005
1954,0.000221,0.000005
1955,0.000245,0.000006
1956,0.000287,0.000004
1957,0.000267,0.000002
1958,0.000233,0.000003
1959,0.000211,0.000002
1960,0.000190,0.000004
1961,0.000183,0.000002
1962,0.000173,0.000003
1963,0.000181,0.000002
1964,0.000140,0.000003
1965,0.000145,0.000002
1966,0.000128,0.000003
1967,0.000149,0.000003
1968,0.000223,0.000002
1969,0.000182,0.000003
1970,0.000172,0.000002
1971,0.000144,0.000002
1972,0.000148,0.000000
1973,0.000138,0.000000
1974,0.000113,0.000003
1975,0.000104,0.000000
1976,0.000109,0.000003
1977,0.000106,0.000002
1978,0.000099,0.000000
1979,0.000130,0.000003
1980,0.000138,0.000003
1981,0.000139,0.000003
1982,0.000145,0.000002
1983,0.000126,0.000002
1984,0.000141,0.000002
1985,0.000157,0.000002
1986,0.000136,0.000002
1987,0.000124,0.000000
1988,0.000133,0.000000
1989,0.000137,0.000000
1990,0.000113,0.000000
1991,0.000111,0.000000
1992,0.000097,0.000001
1993,0.000113,0.000002
1994,0.000131,0.000000
1995,0.000111,0.000000
1996,0.000103,0.000000
1997,0.000131,0.000000
1998,0.000135,0.000000
1999,0.000120,0.000000
2000,0.000123,0.000000
2001,0.000107,0.000000
2002,0.000100,0.000000
2003,0.000106,0.000000
2004,0.000093,0.000000
2005,0.000086,0.000000
2006,0.000080,0.000000
2007,0.000072,0.000000
2008,0.000069,0.000000
2009,0.000063,0.000000
2010,0.000063,0.000000
2011,0.000077,0.000000
2012,0.000071,0.000000
2013,0.000082,0.000000
2014,0.000092,0.000000
2015,0.000100,0.000000
2016,0.000125,0.000000
2017,0.000141,0.000000
2018,0.000138,0.000000
2019,0.000112,0.000000
2020,0.000125,0.000000
