year,Leopoldo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,5
1906,0
1907,7
1908,6
1909,10
1910,11
1911,11
1912,15
1913,11
1914,28
1915,27
1916,19
1917,19
1918,23
1919,34
1920,36
1921,34
1922,25
1923,36
1924,59
1925,51
1926,58
1927,59
1928,50
1929,68
1930,57
1931,40
1932,51
1933,35
1934,39
1935,25
1936,38
1937,42
1938,31
1939,34
1940,35
1941,38
1942,44
1943,35
1944,34
1945,52
1946,35
1947,61
1948,39
1949,48
1950,45
1951,39
1952,53
1953,36
1954,53
1955,43
1956,47
1957,38
1958,39
1959,40
1960,53
1961,49
1962,40
1963,34
1964,48
1965,32
1966,49
1967,52
1968,54
1969,61
1970,58
1971,57
1972,67
1973,61
1974,81
1975,72
1976,62
1977,76
1978,75
1979,85
1980,92
1981,84
1982,69
1983,73
1984,80
1985,74
1986,72
1987,69
1988,68
1989,70
1990,82
1991,72
1992,83
1993,85
1994,92
1995,83
1996,84
1997,68
1998,80
1999,68
2000,70
2001,82
2002,89
2003,77
2004,73
2005,53
2006,66
2007,54
2008,65
2009,55
2010,56
2011,38
2012,40
