year,Louetta
1880,6
1881,0
1882,5
1883,7
1884,7
1885,0
1886,0
1887,10
1888,11
1889,0
1890,5
1891,0
1892,8
1893,12
1894,8
1895,7
1896,12
1897,5
1898,7
1899,7
1900,7
1901,6
1902,0
1903,13
1904,9
1905,12
1906,7
1907,8
1908,7
1909,10
1910,8
1911,8
1912,5
1913,12
1914,15
1915,24
1916,20
1917,15
1918,20
1919,17
1920,19
1921,23
1922,27
1923,21
1924,31
1925,30
1926,35
1927,30
1928,45
1929,31
1930,25
1931,39
1932,27
1933,50
1934,34
1935,38
1936,26
1937,33
1938,28
1939,31
1940,29
1941,26
1942,25
1943,27
1944,21
1945,28
1946,33
1947,29
1948,37
1949,20
1950,19
1951,25
1952,15
1953,16
1954,12
1955,19
1956,16
1957,20
1958,16
1959,13
1960,12
1961,15
1962,9
1963,15
1964,11
1965,5
1966,0
1967,5
1968,8
1969,8
1970,7
1971,0
1972,0
1973,5
1974,0
1975,5
1976,0
1977,0
1978,0
1979,6
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
