year,Luise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,8
1910,7
1911,8
1912,10
1913,10
1914,9
1915,12
1916,16
1917,13
1918,7
1919,15
1920,24
1921,24
1922,24
1923,14
1924,16
1925,12
1926,6
1927,9
1928,0
1929,0
1930,5
1931,0
1932,6
1933,0
1934,7
1935,7
1936,12
1937,27
1938,19
1939,13
1940,12
1941,10
1942,15
1943,5
1944,11
1945,18
1946,15
1947,6
1948,7
1949,7
1950,7
1951,8
1952,8
1953,0
1954,7
1955,7
1956,0
1957,8
1958,5
1959,11
1960,0
1961,15
1962,0
1963,8
1964,7
1965,0
1966,8
1967,0
1968,5
1969,0
1970,0
1971,0
1972,5
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,6
2012,0
