year,Lindsey (F),Lindsey (M)
1880,0.000000,0.000055
1881,0.000000,0.000036
1882,0.000000,0.000036
1883,0.000000,0.000055
1884,0.000000,0.000037
1885,0.000000,0.000029
1886,0.000000,0.000063
1887,0.000000,0.000040
1888,0.000000,0.000043
1889,0.000000,0.000055
1890,0.000000,0.000040
1891,0.000000,0.000042
1892,0.000000,0.000033
1893,0.000000,0.000022
1894,0.000000,0.000021
1895,0.000000,0.000031
1896,0.000000,0.000036
1897,0.000000,0.000023
1898,0.000000,0.000029
1899,0.000000,0.000038
1900,0.000000,0.000042
1901,0.000000,0.000035
1902,0.000000,0.000034
1903,0.000000,0.000047
1904,0.000000,0.000025
1905,0.000000,0.000033
1906,0.000000,0.000042
1907,0.000000,0.000032
1908,0.000000,0.000029
1909,0.000000,0.000023
1910,0.000000,0.000039
1911,0.000000,0.000050
1912,0.000000,0.000039
1913,0.000000,0.000037
1914,0.000000,0.000040
1915,0.000000,0.000031
1916,0.000000,0.000032
1917,0.000000,0.000034
1918,0.000000,0.000024
1919,0.000000,0.000029
1920,0.000000,0.000025
1921,0.000000,0.000025
1922,0.000000,0.000031
1923,0.000000,0.000030
1924,0.000002,0.000023
1925,0.000000,0.000022
1926,0.000000,0.000024
1927,0.000000,0.000024
1928,0.000000,0.000027
1929,0.000000,0.000026
1930,0.000000,0.000033
1931,0.000000,0.000021
1932,0.000000,0.000035
1933,0.000000,0.000027
1934,0.000000,0.000026
1935,0.000000,0.000028
1936,0.000000,0.000025
1937,0.000003,0.000028
1938,0.000000,0.000025
1939,0.000000,0.000027
1940,0.000002,0.000021
1941,0.000003,0.000031
1942,0.000003,0.000023
1943,0.000000,0.000026
1944,0.000002,0.000022
1945,0.000004,0.000026
1946,0.000006,0.000028
1947,0.000009,0.000025
1948,0.000007,0.000028
1949,0.000013,0.000026
1950,0.000015,0.000030
1951,0.000014,0.000035
1952,0.000017,0.000035
1953,0.000014,0.000040
1954,0.000018,0.000042
1955,0.000011,0.000038
1956,0.000016,0.000032
1957,0.000020,0.000035
1958,0.000016,0.000035
1959,0.000013,0.000033
1960,0.000010,0.000034
1961,0.000017,0.000035
1962,0.000011,0.000034
1963,0.000014,0.000031
1964,0.000012,0.000025
1965,0.000012,0.000025
1966,0.000012,0.000024
1967,0.000016,0.000026
1968,0.000017,0.000022
1969,0.000020,0.000019
1970,0.000020,0.000021
1971,0.000020,0.000017
1972,0.000024,0.000019
1973,0.000033,0.000023
1974,0.000077,0.000016
1975,0.000120,0.000016
1976,0.000288,0.000024
1977,0.000435,0.000034
1978,0.000571,0.000028
1979,0.000829,0.000024
1980,0.000983,0.000026
1981,0.001406,0.000033
1982,0.002268,0.000039
1983,0.002507,0.000037
1984,0.002582,0.000033
1985,0.002373,0.000033
1986,0.002264,0.000030
1987,0.002068,0.000026
1988,0.001895,0.000023
1989,0.001839,0.000025
1990,0.001716,0.000018
1991,0.001658,0.000015
1992,0.001535,0.000012
1993,0.001550,0.000014
1994,0.001342,0.000011
1995,0.001195,0.000014
1996,0.001128,0.000008
1997,0.001003,0.000009
1998,0.000942,0.000010
1999,0.000925,0.000004
2000,0.000850,0.000004
2001,0.000815,0.000006
2002,0.000753,0.000005
2003,0.000668,0.000005
2004,0.000590,0.000008
2005,0.000545,0.000004
2006,0.000477,0.000004
2007,0.000389,0.000002
2008,0.000312,0.000002
2009,0.000264,0.000003
2010,0.000217,0.000002
2011,0.000177,0.000002
2012,0.000158,0.000003
2013,0.000138,0.000003
2014,0.000144,0.000001
2015,0.000129,0.000003
2016,0.000099,0.000004
2017,0.000088,0.000002
2018,0.000092,0.000003
2019,0.000080,0.000000
2020,0.000073,0.000003
