year,Lisbeth
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,7
1912,0
1913,0
1914,8
1915,5
1916,0
1917,7
1918,6
1919,8
1920,6
1921,7
1922,8
1923,0
1924,10
1925,6
1926,10
1927,6
1928,10
1929,8
1930,7
1931,7
1932,12
1933,11
1934,12
1935,5
1936,15
1937,7
1938,16
1939,15
1940,18
1941,17
1942,15
1943,28
1944,18
1945,25
1946,47
1947,63
1948,56
1949,45
1950,42
1951,60
1952,66
1953,74
1954,73
1955,83
1956,47
1957,42
1958,60
1959,51
1960,57
1961,44
1962,51
1963,46
1964,34
1965,50
1966,53
1967,30
1968,30
1969,46
1970,44
1971,22
1972,22
1973,34
1974,30
1975,21
1976,18
1977,31
1978,41
1979,32
1980,38
1981,30
1982,38
1983,41
1984,37
1985,36
1986,37
1987,46
1988,44
1989,66
1990,73
1991,80
1992,89
1993,91
1994,84
1995,113
1996,90
1997,79
1998,106
1999,157
2000,152
2001,118
2002,409
2003,343
2004,206
2005,163
2006,133
2007,122
2008,97
2009,125
2010,85
2011,71
2012,82
