year,Loretto
1880,0
1881,0
1882,7
1883,0
1884,8
1885,10
1886,8
1887,10
1888,10
1889,8
1890,10
1891,20
1892,13
1893,19
1894,15
1895,14
1896,18
1897,17
1898,15
1899,20
1900,17
1901,13
1902,16
1903,12
1904,17
1905,11
1906,9
1907,14
1908,7
1909,6
1910,11
1911,15
1912,14
1913,22
1914,17
1915,28
1916,21
1917,17
1918,11
1919,10
1920,24
1921,27
1922,23
1923,12
1924,13
1925,18
1926,7
1927,11
1928,11
1929,7
1930,6
1931,7
1932,8
1933,11
1934,9
1935,5
1936,9
1937,14
1938,0
1939,12
1940,6
1941,15
1942,12
1943,5
1944,7
1945,6
1946,7
1947,9
1948,10
1949,0
1950,5
1951,8
1952,0
1953,0
1954,9
1955,11
1956,9
1957,6
1958,14
1959,14
1960,8
1961,6
1962,7
1963,0
1964,9
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
