year,Lahoma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,8
1912,0
1913,13
1914,26
1915,50
1916,32
1917,24
1918,30
1919,23
1920,28
1921,48
1922,37
1923,30
1924,16
1925,37
1926,40
1927,23
1928,19
1929,24
1930,25
1931,15
1932,22
1933,13
1934,18
1935,18
1936,19
1937,21
1938,13
1939,20
1940,23
1941,17
1942,13
1943,12
1944,21
1945,14
1946,14
1947,12
1948,7
1949,8
1950,14
1951,16
1952,11
1953,9
1954,9
1955,7
1956,7
1957,6
1958,6
1959,0
1960,6
1961,5
1962,6
1963,0
1964,7
1965,6
1966,0
1967,24
1968,109
1969,44
1970,36
1971,28
1972,23
1973,27
1974,16
1975,12
1976,11
1977,7
1978,5
1979,5
1980,5
1981,5
1982,0
1983,7
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
