year,Lawana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,6
1919,14
1920,8
1921,14
1922,13
1923,16
1924,25
1925,19
1926,22
1927,37
1928,25
1929,30
1930,24
1931,27
1932,31
1933,40
1934,24
1935,32
1936,28
1937,33
1938,25
1939,43
1940,41
1941,37
1942,34
1943,50
1944,36
1945,35
1946,36
1947,63
1948,37
1949,55
1950,47
1951,60
1952,50
1953,64
1954,75
1955,62
1956,65
1957,85
1958,64
1959,59
1960,77
1961,74
1962,84
1963,67
1964,85
1965,48
1966,61
1967,58
1968,53
1969,46
1970,60
1971,87
1972,49
1973,74
1974,58
1975,52
1976,51
1977,49
1978,47
1979,47
1980,27
1981,32
1982,29
1983,18
1984,14
1985,13
1986,12
1987,14
1988,10
1989,9
1990,10
1991,9
1992,8
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
