year,Laurence (F),Laurence (M)
1880,0.000000,0.000124
1881,0.000000,0.000145
1882,0.000000,0.000108
1883,0.000000,0.000129
1884,0.000000,0.000099
1885,0.000000,0.000137
1886,0.000000,0.000168
1887,0.000000,0.000113
1888,0.000000,0.000127
1889,0.000000,0.000111
1890,0.000017,0.000139
1891,0.000024,0.000136
1892,0.000000,0.000135
1893,0.000015,0.000163
1894,0.000000,0.000136
1895,0.000000,0.000165
1896,0.000014,0.000165
1897,0.000000,0.000199
1898,0.000024,0.000194
1899,0.000024,0.000186
1900,0.000011,0.000180
1901,0.000000,0.000174
1902,0.000016,0.000184
1903,0.000000,0.000202
1904,0.000017,0.000181
1905,0.000012,0.000182
1906,0.000019,0.000189
1907,0.000013,0.000168
1908,0.000012,0.000186
1909,0.000010,0.000174
1910,0.000015,0.000193
1911,0.000011,0.000188
1912,0.000006,0.000274
1913,0.000005,0.000276
1914,0.000004,0.000268
1915,0.000005,0.000252
1916,0.000005,0.000243
1917,0.000004,0.000247
1918,0.000005,0.000257
1919,0.000008,0.000252
1920,0.000005,0.000243
1921,0.000005,0.000256
1922,0.000005,0.000253
1923,0.000003,0.000236
1924,0.000003,0.000241
1925,0.000008,0.000236
1926,0.000000,0.000266
1927,0.000003,0.000251
1928,0.000005,0.000253
1929,0.000003,0.000267
1930,0.000003,0.000254
1931,0.000004,0.000245
1932,0.000000,0.000227
1933,0.000000,0.000213
1934,0.000000,0.000236
1935,0.000000,0.000204
1936,0.000000,0.000208
1937,0.000000,0.000210
1938,0.000003,0.000217
1939,0.000000,0.000249
1940,0.000000,0.000262
1941,0.000002,0.000216
1942,0.000002,0.000244
1943,0.000000,0.000230
1944,0.000000,0.000216
1945,0.000000,0.000222
1946,0.000000,0.000221
1947,0.000000,0.000216
1948,0.000002,0.000223
1949,0.000000,0.000229
1950,0.000000,0.000230
1951,0.000001,0.000223
1952,0.000003,0.000222
1953,0.000002,0.000195
1954,0.000000,0.000178
1955,0.000000,0.000160
1956,0.000000,0.000158
1957,0.000001,0.000144
1958,0.000000,0.000131
1959,0.000000,0.000125
1960,0.000000,0.000123
1961,0.000003,0.000131
1962,0.000000,0.000129
1963,0.000002,0.000127
1964,0.000002,0.000117
1965,0.000001,0.000101
1966,0.000001,0.000100
1967,0.000002,0.000102
1968,0.000002,0.000095
1969,0.000002,0.000087
1970,0.000000,0.000084
1971,0.000000,0.000067
1972,0.000000,0.000068
1973,0.000000,0.000068
1974,0.000000,0.000061
1975,0.000000,0.000059
1976,0.000000,0.000057
1977,0.000002,0.000049
1978,0.000002,0.000044
1979,0.000000,0.000046
1980,0.000000,0.000047
1981,0.000000,0.000049
1982,0.000000,0.000047
1983,0.000000,0.000039
1984,0.000000,0.000044
1985,0.000000,0.000039
1986,0.000000,0.000033
1987,0.000000,0.000032
1988,0.000002,0.000029
1989,0.000002,0.000038
1990,0.000003,0.000031
1991,0.000000,0.000030
1992,0.000000,0.000032
1993,0.000000,0.000027
1994,0.000000,0.000027
1995,0.000000,0.000034
1996,0.000001,0.000030
1997,0.000002,0.000025
1998,0.000000,0.000026
1999,0.000000,0.000023
2000,0.000002,0.000019
2001,0.000000,0.000018
2002,0.000001,0.000020
2003,0.000000,0.000021
2004,0.000000,0.000019
2005,0.000000,0.000016
2006,0.000001,0.000018
2007,0.000000,0.000014
2008,0.000000,0.000014
2009,0.000000,0.000014
2010,0.000000,0.000011
2011,0.000000,0.000013
2012,0.000000,0.000014
2013,0.000000,0.000012
