year,Larita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,6
1920,6
1921,0
1922,0
1923,8
1924,7
1925,0
1926,6
1927,0
1928,6
1929,7
1930,11
1931,14
1932,23
1933,13
1934,9
1935,20
1936,15
1937,21
1938,19
1939,20
1940,12
1941,19
1942,13
1943,12
1944,21
1945,18
1946,18
1947,30
1948,26
1949,26
1950,33
1951,22
1952,22
1953,23
1954,36
1955,28
1956,37
1957,79
1958,55
1959,30
1960,38
1961,42
1962,32
1963,36
1964,25
1965,22
1966,33
1967,26
1968,25
1969,27
1970,29
1971,32
1972,18
1973,32
1974,27
1975,28
1976,17
1977,19
1978,33
1979,32
1980,19
1981,27
1982,32
1983,28
1984,23
1985,22
1986,18
1987,18
1988,16
1989,15
1990,13
1991,11
1992,11
1993,16
1994,6
1995,6
1996,6
1997,0
1998,7
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
