year,Luann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,5
1922,0
1923,0
1924,5
1925,0
1926,0
1927,5
1928,12
1929,14
1930,15
1931,17
1932,30
1933,26
1934,61
1935,62
1936,62
1937,61
1938,55
1939,70
1940,66
1941,79
1942,74
1943,72
1944,79
1945,66
1946,103
1947,116
1948,94
1949,120
1950,140
1951,156
1952,203
1953,1192
1954,1644
1955,1356
1956,1199
1957,995
1958,909
1959,829
1960,730
1961,729
1962,564
1963,458
1964,433
1965,344
1966,258
1967,203
1968,207
1969,190
1970,168
1971,127
1972,88
1973,86
1974,66
1975,56
1976,48
1977,59
1978,42
1979,26
1980,40
1981,27
1982,27
1983,22
1984,25
1985,23
1986,23
1987,19
1988,19
1989,16
1990,20
1991,11
1992,18
1993,17
1994,11
1995,15
1996,6
1997,11
1998,6
1999,15
2000,11
2001,14
2002,13
2003,11
2004,7
2005,9
2006,11
2007,6
2008,15
2009,10
2010,7
2011,5
2012,19
