year,Lucious (F),Lucious (M)
1880,0.000000,0.000050
1881,0.000000,0.000088
1882,0.000000,0.000077
1883,0.000000,0.000046
1884,0.000000,0.000082
1885,0.000000,0.000046
1886,0.000000,0.000067
1887,0.000000,0.000061
1888,0.000000,0.000040
1889,0.000000,0.000045
1890,0.000000,0.000040
1891,0.000000,0.000056
1892,0.000000,0.000030
1893,0.000000,0.000046
1894,0.000000,0.000030
1895,0.000000,0.000057
1896,0.000000,0.000036
1897,0.000000,0.000035
1898,0.000000,0.000047
1899,0.000000,0.000038
1900,0.000000,0.000058
1901,0.000000,0.000055
1902,0.000000,0.000039
1903,0.000000,0.000034
1904,0.000000,0.000042
1905,0.000000,0.000050
1906,0.000000,0.000023
1907,0.000000,0.000047
1908,0.000000,0.000035
1909,0.000000,0.000051
1910,0.000000,0.000054
1911,0.000000,0.000031
1912,0.000000,0.000040
1913,0.000000,0.000036
1914,0.000000,0.000043
1915,0.000003,0.000032
1916,0.000000,0.000031
1917,0.000000,0.000033
1918,0.000000,0.000031
1919,0.000000,0.000034
1920,0.000000,0.000023
1921,0.000000,0.000022
1922,0.000000,0.000032
1923,0.000000,0.000032
1924,0.000000,0.000027
1925,0.000000,0.000027
1926,0.000000,0.000033
1927,0.000000,0.000028
1928,0.000000,0.000028
1929,0.000000,0.000028
1930,0.000000,0.000027
1931,0.000000,0.000021
1932,0.000000,0.000029
1933,0.000000,0.000024
1934,0.000000,0.000026
1935,0.000000,0.000024
1936,0.000000,0.000023
1937,0.000000,0.000028
1938,0.000000,0.000024
1939,0.000000,0.000023
1940,0.000000,0.000020
1941,0.000000,0.000020
1942,0.000000,0.000017
1943,0.000000,0.000019
1944,0.000000,0.000019
1945,0.000000,0.000022
1946,0.000000,0.000017
1947,0.000000,0.000016
1948,0.000000,0.000017
1949,0.000000,0.000022
1950,0.000000,0.000017
1951,0.000000,0.000018
1952,0.000000,0.000016
1953,0.000000,0.000015
1954,0.000000,0.000018
1955,0.000000,0.000013
1956,0.000000,0.000013
1957,0.000000,0.000012
1958,0.000000,0.000012
1959,0.000000,0.000016
1960,0.000000,0.000009
1961,0.000000,0.000009
1962,0.000000,0.000009
1963,0.000000,0.000009
1964,0.000000,0.000007
1965,0.000000,0.000006
1966,0.000000,0.000007
1967,0.000000,0.000009
1968,0.000000,0.000007
1969,0.000000,0.000007
1970,0.000000,0.000007
1971,0.000000,0.000008
1972,0.000000,0.000009
1973,0.000000,0.000009
1974,0.000000,0.000007
1975,0.000000,0.000010
1976,0.000000,0.000006
1977,0.000000,0.000008
1978,0.000000,0.000006
1979,0.000000,0.000010
1980,0.000000,0.000006
1981,0.000000,0.000007
1982,0.000000,0.000006
1983,0.000000,0.000006
1984,0.000000,0.000005
1985,0.000000,0.000005
1986,0.000000,0.000005
1987,0.000000,0.000004
1988,0.000000,0.000006
1989,0.000000,0.000004
1990,0.000000,0.000004
1991,0.000000,0.000005
1992,0.000000,0.000003
1993,0.000000,0.000003
1994,0.000000,0.000006
1995,0.000000,0.000000
1996,0.000000,0.000005
1997,0.000000,0.000003
1998,0.000000,0.000003
1999,0.000000,0.000001
2000,0.000000,0.000003
2001,0.000000,0.000004
2002,0.000000,0.000003
2003,0.000000,0.000003
2004,0.000000,0.000002
2005,0.000000,0.000009
2006,0.000000,0.000009
2007,0.000000,0.000007
2008,0.000000,0.000005
2009,0.000000,0.000007
2010,0.000000,0.000007
2011,0.000000,0.000005
2012,0.000000,0.000007
