year,Lollie
1880,5
1881,5
1882,7
1883,7
1884,5
1885,8
1886,6
1887,6
1888,13
1889,15
1890,8
1891,7
1892,26
1893,9
1894,13
1895,15
1896,13
1897,8
1898,13
1899,5
1900,14
1901,11
1902,12
1903,13
1904,17
1905,15
1906,11
1907,12
1908,17
1909,15
1910,5
1911,16
1912,19
1913,17
1914,15
1915,20
1916,22
1917,21
1918,23
1919,24
1920,14
1921,27
1922,18
1923,22
1924,15
1925,16
1926,16
1927,13
1928,10
1929,12
1930,11
1931,9
1932,16
1933,8
1934,10
1935,15
1936,9
1937,9
1938,10
1939,14
1940,17
1941,11
1942,7
1943,15
1944,0
1945,5
1946,6
1947,16
1948,7
1949,8
1950,8
1951,8
1952,7
1953,8
1954,0
1955,14
1956,13
1957,8
1958,15
1959,9
1960,6
1961,0
1962,6
1963,11
1964,6
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,5
2012,0
